,ant_mjd,ant_passband,ant_mag,ant_magerr
0,58425.48231479991,R,17.8160457611084,0.09391175210475923
3,58434.49721059995,R,19.12689971923828,0.21977199614048004
6,58439.39730319986,R,18.702199935913086,0.1813270002603531
22,58461.48106480017,g,18.73209953308105,0.13726599514484406
26,58464.49773149983,g,18.961299896240234,0.118477001786232
42,58480.49869209993,g,18.926700592041016,0.16220499575138092
45,58482.507141199894,g,18.97920036315918,0.16269299387931824
50,58486.523148099885,g,18.978200912475586,0.14002299308776855
52,58491.45462960005,g,18.9822998046875,0.21619300544261927
60,58494.481840299915,g,18.892200469970703,0.12705999612808228
62,58502.440243099816,g,18.991899490356445,0.15796899795532227
66,58508.52564809984,g,18.944299697875977,0.2354010045528412
70,58511.42363430001,g,18.98240089416504,0.160304993391037
71,58511.46671300009,g,18.90250015258789,0.1383250057697296
79,58522.41275459993,g,18.95358657836914,0.12012500315904615
80,58522.42964120022,g,19.51930046081543,0.2087559998035431
81,58522.430104199804,g,18.92988586425781,0.1278129667043686
85,58538.27824069979,g,19.06319999694824,0.2843270003795624
94,58559.31043979991,g,18.7450008392334,0.12946400046348572
95,58567.20651620022,g,18.93180084228516,0.12632299959659574
104,58575.2745949002,g,19.007699966430664,0.13909099996089935
105,58580.23267359985,g,18.93280029296875,0.15177400410175326
112,58586.169803199824,g,18.91580009460449,0.15917600691318512
114,58591.183958299924,g,19.11370086669922,0.18310099840164185
121,58597.25410880009,g,19.03470039367676,0.1349100023508072
125,58601.229085599996,g,18.924699783325195,0.1451220065355301
130,58605.211365699775,g,18.92930030822754,0.11376500129699707
133,58608.207511600114,g,19.018699645996094,0.144336998462677
136,58612.17465279997,g,18.923200607299805,0.15490299463272095
145,58634.19437499996,g,19.03160095214844,0.15946699678897858
150,58637.222719899844,g,19.108200073242188,0.17218181490898132
151,58640.17290510005,g,18.918500900268555,0.18064799904823306
154,58645.19996530004,g,18.72020530700684,0.14531177282333374
177,58804.506169000175,g,19.02630043029785,0.18334999680519104
185,58827.54503470008,g,18.911399841308594,0.12166299670934674
186,58827.546423600055,g,19.51210021972656,0.1948940008878708
191,58830.547071800094,g,18.89119911193848,0.15049199759960175
195,58836.54956019996,g,18.940399169921875,0.10556600242853163
203,58846.50140050008,g,18.97719955444336,0.12988799810409546
204,58846.50186339999,g,19.773000717163086,0.2629770040512085
208,58849.49671299989,g,19.67169952392578,0.181768998503685
212,58852.48149310006,g,18.88949966430664,0.11739599704742433
214,58853.492615699775,g,18.992000579833984,0.13888800144195554
218,58854.51793979992,g,19.01210021972656,0.1424430012702942
231,58866.3992360998,g,18.89559936523437,0.12320400029420853
249,58877.356909700204,g,19.32229995727539,0.20285899937152865
251,58877.37329859985,g,18.88949966430664,0.14506199955940247
260,58880.44209490017,g,19.0044002532959,0.10559500008821487
268,58883.4401273001,g,19.1737003326416,0.21597400307655332
295,58894.31054400001,g,18.89069938659668,0.1181740015745163
300,58898.288796300076,g,18.896799087524414,0.1366090029478073
302,58898.31891199992,R,18.714599609375,0.1923920065164566
309,58900.33192129992,g,18.982999801635746,0.14076200127601626
313,58903.296562499825,g,18.955400466918945,0.11997099965810774
317,58904.27479169984,g,18.954500198364254,0.1285099983215332
319,58905.27334489999,g,18.94420051574707,0.1364469975233078
322,58906.28984950018,g,19.149099349975586,0.1516290009021759
324,58909.25454859994,g,19.010799407958984,0.1967879980802536
328,58911.382326399915,g,18.997100830078125,0.16862499713897705
331,58912.25487270019,g,18.80109977722168,0.17512500286102295
335,58913.27601849986,g,18.87459945678711,0.16275499761104584
339,58936.25265049982,g,18.953100204467773,0.12390899658203125
346,58939.29406249988,g,18.74489974975586,0.15001000463962555
352,58962.21418979997,g,19.00230026245117,0.1218779981136322
354,58964.20501160016,g,18.74570083618164,0.14118599891662598
357,58965.21204859996,g,18.908300399780273,0.11857599765062332
360,58968.21056709997,g,18.955900192260746,0.11900799721479415
364,58976.17587959999,g,19.084299087524414,0.17871199548244476
371,58979.22920140019,g,18.811399459838867,0.16377399861812592
382,58995.17151620006,g,18.88249969482422,0.14004500210285187
387,59005.17211809987,g,18.97150039672852,0.2084610015153885
388,59005.17259259988,g,19.117000579833984,0.21416200697422028
391,59013.213611099876,g,18.99953842163086,0.15743497014045715
393,59140.50565969991,g,19.00248146057129,0.21582256257534027
401,59144.50715279997,g,18.85578155517578,0.14264576137065887
408,59150.518356500186,g,18.936691284179688,0.13418981432914734
418,59155.52232640004,g,18.982349395751953,0.17174924910068512
419,59156.496886599816,g,18.896583557128906,0.1664748191833496
431,59167.522569399785,g,18.916423797607425,0.16712629795074466
434,59169.48756940012,g,18.92190361022949,0.11875467747449875
445,59177.529687500086,g,19.92620086669922,0.19590499997138974
446,59179.4851735998,g,18.899688720703125,0.15386547148227692
447,59180.484259299934,g,19.03160095214844,0.2422129958868027
450,59181.527002300136,g,18.78121566772461,0.12542037665843964
456,59185.50912040007,g,18.936115264892575,0.2106027603149414
461,59187.53115739999,g,18.83386993408203,0.17116819322109222
465,59194.44475689996,g,19.87569999694824,0.23047499358654025
