,ant_mjd,ant_passband,ant_mag,ant_magerr
2,58955.39964119997,g,20.396900177001953,0.29535698890686035
11,58969.31225690013,R,17.25320053100586,0.18904100358486176
19,58979.247303199954,g,18.867000579833984,0.0988299995660782
20,58979.28307869983,g,18.96629905700684,0.1470550000667572
21,58985.290428199805,R,17.887300491333008,0.06671600043773651
22,58985.294455999974,g,18.167999267578125,0.05556799843907356
23,58991.29929400002,g,18.105600357055664,0.08055900037288666
24,58994.25243060011,g,18.34280014038086,0.0845390036702156
25,58997.211400500026,g,18.62660026550293,0.0846169963479042
26,58997.25254630017,R,18.06410026550293,0.11028099805116652
27,58998.26681709987,R,18.20439910888672,0.11542999744415285
30,59009.21245370014,R,18.562700271606445,0.10305199772119522
33,59012.232245400075,R,18.76321220397949,0.1526666134595871
