,ant_mjd,ant_passband,ant_mag,ant_magerr
114,58269.35934029985,R,19.582300186157227,0.2136259973049164
115,58272.254236099776,g,19.075613021850586,0.055474761873483665
116,58272.27435189997,R,19.019216537475586,0.07168477773666382
117,58275.34240739979,R,18.75354766845703,0.050968091934919364
118,58278.27474540007,R,18.712934494018555,0.050132006406784065
119,58278.33928239998,g,18.902029037475586,0.04644323885440826
120,58281.21499999985,R,18.53066062927246,0.040665257722139365
121,58281.291168999865,g,19.180879592895508,0.06206729635596275
122,58284.25516200018,g,19.390674591064453,0.07247564196586609
123,58287.27069440018,R,18.61345100402832,0.04254388436675072
124,58290.21494209999,g,19.6989860534668,0.17497725784778595
125,58290.32640049978,R,18.774560928344727,0.11663743853569032
127,58296.2680902998,R,19.15976905822754,0.10302171856164932
129,58299.35239579994,R,19.50690078735352,0.23090699315071106
134,58311.20974540013,R,19.798200607299805,0.17802199721336365
136,58314.210451399915,R,20.244388580322266,0.20695006847381592
