,ant_mjd,ant_passband,ant_mag,ant_magerr
26,58272.29530090001,R,18.42491912841797,0.04238464310765266
27,58275.34287039982,R,18.31703758239746,0.032425187528133385
28,58278.226979199804,g,18.309999465942386,0.025061000138521198
29,58278.267731499865,R,18.234081268310547,0.029354743659496307
30,58281.21268519992,R,18.26577377319336,0.028067028149962425
31,58285.299780100126,R,18.48655128479004,0.05631077289581299
32,58288.27400460001,R,18.583799362182614,0.06439200043678284
33,58288.351504600134,g,18.72714233398437,0.06908345222473145
34,58291.25596059999,R,18.747467041015625,0.11280754953622818
35,58294.194583300035,g,19.131441116333008,0.1472529172897339
36,58294.26878469996,R,18.925264358520508,0.10140502452850343
37,58297.22692129994,g,19.47960090637207,0.19582100212574005
38,58297.29627310018,R,19.09449958801269,0.16405999660491946
39,58300.22579859988,g,19.60332679748535,0.1322091668844223
40,58300.33041669987,R,19.047245025634766,0.11011592298746108
41,58303.17177079991,R,19.030385971069336,0.09880993515253067
42,58303.21576389996,g,19.972970962524414,0.13283120095729828
43,58306.218020800035,g,20.18120002746582,0.17896200716495514
45,58314.170891200185,R,19.41798973083496,0.13902857899665833
46,58314.24335649982,g,20.673099517822266,0.2513740062713623
48,58320.27100689989,R,19.78361320495605,0.13751469552516934
54,58330.30262729991,R,20.007299423217773,0.2277050018310547
55,58333.16677080003,R,20.12379264831543,0.15416263043880465
58,58336.21372690005,R,20.48150062561035,0.21882100403308868
60,58344.185763900176,R,20.572071075439453,0.2168928235769272
