,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58271.1907060002,R,18.85325813293457,0.06821320205926895
11,58274.191909700174,R,18.89689064025879,0.06326375901699066
12,58277.25439810008,R,19.00107192993164,0.06986599415540695
13,58283.21077550016,R,18.751548767089844,0.05542776733636856
14,58286.28048609988,R,18.927616119384766,0.06603711843490599
15,58289.21613429999,R,19.043960571289066,0.1271177977323532
17,58293.239340300206,R,19.049518585205078,0.15362302958965302
19,58296.236527800094,R,19.139293670654297,0.10691440105438232
21,58302.301840300206,R,19.17845726013184,0.16258814930915833
22,58305.179571799934,R,19.328697204589844,0.12589874863624573
25,58308.2359491,R,19.417356491088867,0.12313991785049437
26,58311.17195599992,R,19.4237003326416,0.1390009969472885
30,58336.19733799994,R,19.867816925048828,0.21060404181480408
32,58580.40101849986,g,20.334999084472656,0.22183600068092346
34,58583.35789350001,g,20.47369956970215,0.34415701031684875
43,58600.23680560011,g,20.38279914855957,0.2549239993095398
45,58606.380706000135,g,20.310400009155273,0.2005700021982193
47,58612.2743286998,g,20.22570037841797,0.17131300270557406
48,58616.23208330013,g,20.206199645996094,0.3393769860267639
51,58628.213425899856,g,20.236900329589844,0.2064179927110672
53,58633.25693289982,g,20.432300567626953,0.2330069988965988
55,58636.27539349999,g,20.42889976501465,0.21140000224113464
57,58639.2349537001,g,20.403400421142575,0.2528479993343353
58,58642.19243060006,g,20.214000701904297,0.211230993270874
64,58654.254155099865,g,20.253700256347656,0.2764900028705597
65,58657.19267359981,g,20.273252487182614,0.1895543932914734
71,58846.54935189989,g,20.21500015258789,0.20462700724601746
74,58850.56107639987,g,19.909799575805664,0.3186259865760803
75,58850.56831019978,g,20.241100311279297,0.25213098526000977
76,58853.524710599806,g,20.12879943847656,0.21774399280548096
78,58856.560868099805,g,20.143400192260746,0.1689469963312149
81,58863.42004630017,g,19.822599411010746,0.3926070034503937
82,58872.441655099865,g,20.076574325561523,0.21478211879730225
83,58881.49818289978,g,20.153200149536133,0.2255920022726059
85,58884.4791203998,g,20.30039978027344,0.3516870141029358
93,58898.442256900016,g,20.33169937133789,0.20557400584220886
100,58911.432141200174,g,20.13990020751953,0.2026659995317459
102,58914.47686340008,g,20.368900299072266,0.2970449924468994
104,58936.30609950004,g,20.16580009460449,0.2098570019006729
105,58937.387928199954,g,20.13809967041016,0.2148289978504181
116,58955.333090300206,g,20.224199295043945,0.2146520018577576
117,58962.33859949977,g,20.262500762939453,0.2692599892616272
118,58963.35160879978,g,20.178300857543945,0.17058700323104858
121,58968.293854199816,g,20.481800079345703,0.31362399458885193
128,58979.28635419997,g,20.18160057067871,0.23580899834632876
130,58980.222233800225,g,20.300600051879886,0.198840007185936
132,58985.205486100174,g,20.37579917907715,0.2712259888648987
134,58991.298819399904,g,20.421100616455078,0.2525480091571808
135,58994.25387729983,g,20.18950080871582,0.18458099663257602
137,58997.21232639997,g,20.264799118041992,0.1890559941530228
144,59009.25715279997,g,20.124000549316406,0.2559860050678253
145,59012.19789349986,g,20.281299591064453,0.1998330056667328
148,59018.20458329981,g,20.31599998474121,0.17729100584983826
150,59021.229479200214,g,20.230953216552734,0.18675564229488373
151,59262.52108799992,g,20.26129913330078,0.2909669876098633
155,59266.485439800184,g,20.475000381469727,0.3411130011081696
156,59268.48318290013,g,20.33270072937012,0.24176600575447085
165,59291.300162000116,g,20.280744552612305,0.21420514583587646
