,ant_mjd,ant_passband,ant_mag,ant_magerr
16,58287.26776620001,R,18.7134952545166,0.06109769642353057
17,58290.24347219988,g,18.032184600830078,0.062428165227174766
18,58290.33201389993,R,18.13817596435547,0.05328533798456192
19,58293.309421299964,R,17.915185928344727,0.04576384648680687
20,58293.350752300124,g,17.765323638916016,0.056809641420841224
21,58297.243136600126,g,17.663000106811523,0.06544400006532669
22,58297.32883099979,R,17.713699340820312,0.05442000180482864
23,58300.3401389001,R,17.73323631286621,0.059910185635089874
24,58300.45276620006,g,17.73142433166504,0.06725221872329712
25,58303.327858800076,R,17.81798553466797,0.05577541887760162
26,58303.41490740003,g,17.977481842041016,0.06891816854476929
27,58306.3254976999,g,18.227399826049805,0.06774400174617767
29,58310.393530100126,R,18.16270065307617,0.07504100352525711
30,58316.24359950004,R,18.16670036315918,0.08052399754524231
31,58316.36515050009,g,19.632030487060547,0.14072959125041962
33,58322.22299769986,g,19.834800720214844,0.2999489903450012
34,58322.28274310008,R,18.792306900024414,0.08581699430942535
36,58325.24340280006,R,18.904277801513672,0.13152115046977994
37,58331.22185190023,R,19.254976272583008,0.12370851635932922
40,58334.357476899866,R,19.31599998474121,0.13808299601078033
41,58337.33070599986,R,19.597625732421875,0.17231905460357666
50,58352.26731480006,R,19.847957611083984,0.20741650462150574
