,ant_mjd,ant_passband,ant_mag,ant_magerr
17,58299.21475689997,g,19.36070442199707,0.14746855199337006
19,58302.286041699816,g,19.09469413757324,0.12702877819538114
20,58305.317893499974,g,19.02120018005371,0.0929739996790886
21,58305.35824069986,R,18.831300735473636,0.10734199732542038
22,58308.331712999854,R,18.765300750732425,0.1078300029039383
23,58311.339340299826,g,19.121299743652344,0.11047500371932983
24,58311.383009300094,R,18.846200942993164,0.09700100123882294
25,58314.22572920006,R,18.992151260375977,0.11330953240394592
26,58314.359861100085,g,19.229228973388672,0.09262070804834366
27,58320.34833330009,R,19.2308349609375,0.09433256834745407
28,58320.40278939996,g,19.497459411621094,0.1418401300907135
29,58323.23260420003,R,19.39676856994629,0.16473998129367828
30,58323.38023150014,g,19.853500366210934,0.2438579946756363
32,58326.315231500186,R,19.68079948425293,0.2896200120449066
33,58329.32871530019,R,19.624099731445312,0.2387119978666305
34,58332.248460600145,g,20.554500579833984,0.2330590039491653
37,58338.18288190012,g,20.73710060119629,0.27464601397514343
38,58338.20317129978,R,19.782899856567386,0.20535315573215485
