,ant_mjd,ant_passband,ant_mag,ant_magerr
15,58299.179398099885,g,19.445283889770508,0.13361719250679016
16,58299.34489580012,R,18.513559341430664,0.09961098432540894
17,58302.1979398001,g,19.23699951171875,0.12570199370384216
18,58302.30939809977,R,18.297266006469727,0.07643262296915054
19,58305.18574069999,R,18.3257999420166,0.06451199948787689
20,58305.20109950006,g,19.231000900268555,0.11796600371599195
21,58308.198159699794,g,19.357500076293945,0.11235400289297104
22,58308.24216439994,R,18.360200881958008,0.06410399824380875
23,58311.20229170006,R,18.357500076293945,0.06828399747610092
25,58319.179201399915,g,19.761499404907227,0.24078699946403506
26,58319.217696799904,R,18.39193725585937,0.0959448292851448
27,58322.179490699906,g,19.65239906311035,0.21091200411319733
28,58322.24106479995,R,18.37876319885254,0.06441902369260788
30,58325.235937499914,R,18.480979919433594,0.0752972811460495
31,58328.18040509988,g,20.03059959411621,0.28536298871040344
32,58328.284340300124,R,18.533496856689453,0.09800947457551956
33,58331.18134259991,R,18.56055450439453,0.06545498967170715
34,58331.24502310018,g,20.170900344848636,0.25189998745918274
35,58334.16643519978,R,18.601816177368164,0.07156574726104736
36,58334.18546300009,g,20.09149932861328,0.22405900061130524
37,58337.17865739996,g,20.12669944763184,0.2287939935922623
38,58337.195439800154,R,18.658334732055664,0.06929567456245422
39,58340.18194440008,R,18.65806579589844,0.09800759702920914
40,58344.16396989999,g,20.40049934387207,0.2896380126476288
41,58344.18479169997,R,18.716449737548828,0.08231478184461594
42,58350.179074100226,R,18.78618049621582,0.12914110720157626
44,58353.15594909992,R,18.806198120117188,0.09469515830278397
45,58353.28033560003,R,18.84128189086914,0.10203123837709427
46,58356.259594900075,R,18.79930305480957,0.10435768961906433
49,58362.16006939997,R,18.95783233642578,0.08409901708364488
51,58365.1430902998,R,18.923900604248047,0.09081000089645386
52,58365.23627310013,g,20.362300872802734,0.2797160148620605
53,58368.14190969988,R,18.9158992767334,0.07915253192186356
54,58368.22268520017,g,20.546199798583984,0.26733198761939997
55,58372.20738429995,g,20.66659927368164,0.3306939899921417
56,58378.1363309999,R,19.049299240112305,0.10390900075435637
58,58381.1414235998,R,19.050724029541016,0.1164671704173088
