,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58297.243136600126,g,19.52869987487793,0.2269980013370514
16,58300.3401389001,R,19.19377326965332,0.11409469693899155
17,58300.45276620006,g,19.263946533203125,0.13444773852825165
18,58303.327858800076,R,18.97913360595703,0.09412788599729538
19,58303.41490740003,g,19.07726287841797,0.133082315325737
20,58306.3254976999,g,18.87030029296875,0.09407000243663788
21,58310.393530100126,R,18.68090057373047,0.07917899638414383
22,58313.246018500075,g,19.13500022888184,0.07315199822187424
23,58316.24359950004,R,19.058372497558594,0.10119594633579254
24,58316.36515050009,g,19.211278915405273,0.10379082709550858
25,58319.36684030014,g,19.597980499267575,0.18382291495800016
27,58322.28274310008,R,19.493221282958984,0.13018110394477844
29,58325.24340280006,R,19.270065307617188,0.12929491698741913
30,58331.22185190023,R,19.580080032348636,0.12960098683834076
33,58334.357476899866,R,19.6745662689209,0.15391960740089414
39,58343.3312615999,R,20.2819938659668,0.19571903347969052
