,ant_mjd,ant_passband,ant_mag,ant_magerr
18,58299.18935190002,g,19.22412109375,0.1382700800895691
20,58302.21127310023,g,18.835153579711914,0.12043087184429167
22,58305.29741899995,g,18.70400047302246,0.06731200218200684
23,58305.336400500026,R,18.707199096679688,0.09542500227689744
24,58308.227812500205,g,18.747900009155273,0.07534100115299225
25,58308.33219909994,R,18.741300582885746,0.13972699642181394
26,58311.19334489992,R,18.757099151611328,0.10109899938106537
27,58314.22759260005,R,18.83731842041016,0.07758910953998566
28,58314.3157060002,g,19.235708236694336,0.10768087208271028
29,58319.19120369991,g,19.71419906616211,0.18146899342536926
30,58319.27749999985,R,19.170841217041016,0.10844091325998306
31,58322.20936340001,g,20.16990089416504,0.30622199177742004
37,58336.22010419984,R,20.287708282470703,0.1824818253517151
