,ant_mjd,ant_passband,ant_mag,ant_magerr
30,58306.18138890015,R,19.9778995513916,0.19266299903392792
31,58306.18278940023,R,20.033100128173828,0.20288600027561188
32,58306.303333300166,g,19.980499267578125,0.14909900724887848
33,58306.30429399992,g,19.79019927978516,0.219650000333786
34,58312.22004629998,R,18.882699966430664,0.07553199678659439
35,58312.3318403,g,18.827800750732425,0.11991000175476076
36,58316.17474539997,g,18.617847442626953,0.09105396270751953
37,58319.21578700003,R,18.58560562133789,0.09284067898988724
38,58320.1968866,g,18.58211326599121,0.07810745388269424
39,58320.26844910019,R,18.674924850463867,0.0848945751786232
41,58324.304432900164,g,18.891603469848636,0.13467533886432648
42,58331.166782400105,R,19.158100128173828,0.11838991940021515
43,58331.27621529997,g,19.209253311157227,0.20242001116275787
44,58331.3037268999,g,19.32167053222656,0.1841363459825516
45,58334.163078700185,R,19.221498489379886,0.1388050615787506
46,58334.16403939994,R,19.1205997467041,0.12170103937387465
47,58334.184456000105,g,19.612194061279297,0.14444716274738312
48,58334.184965299915,g,19.64874839782715,0.17585638165473938
49,58337.177210600115,g,20.204408645629886,0.20181837677955627
50,58337.178159699775,g,19.78767967224121,0.16927236318588254
51,58337.19593749987,R,19.44529914855957,0.13593199849128726
52,58337.1968866,R,19.425521850585934,0.11126653850078584
54,58344.18329859991,R,20.180604934692386,0.20984233915805814
