,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58312.191134300076,R,19.238100051879886,0.12671500444412231
8,58315.23583329981,R,18.523061752319336,0.08686346560716629
9,58328.280995400164,R,17.529600143432614,0.12002100050449373
10,58331.18754629978,R,17.287479400634766,0.05804860219359397
11,58337.202951400075,R,17.532098770141598,0.0585147887468338
12,58344.17960650008,R,17.875638961791992,0.055642835795879364
14,58367.147986100055,R,18.740009307861328,0.10115238279104233
20,58494.53961810004,g,20.120901107788086,0.14509454369544986
27,58560.50075230002,g,20.123300552368164,0.21886299550533292
28,58568.398726900115,g,19.857799530029297,0.2145709991455078
34,58580.39829860022,g,20.010284423828125,0.1931540220975876
36,58583.37593750004,g,20.07069969177246,0.2573719918727875
43,58606.436064799775,g,20.087299346923828,0.2248460054397583
44,58612.294201400124,g,19.980300903320312,0.15046800673007965
52,58632.341678199824,g,20.06209945678711,0.20640499889850614
53,58634.25033560023,g,20.035600662231445,0.17548200488090515
54,58635.21238429983,g,20.075899124145508,0.18037499487400052
56,58638.31678240001,g,20.060300827026367,0.16997000575065613
57,58641.20934029994,g,20.050800323486328,0.18265099823474884
59,58643.20875000022,g,19.985599517822266,0.18732400238513947
60,58644.20896989992,g,19.98209953308105,0.19280000030994413
66,58654.25131940004,g,19.90880012512207,0.1982399970293045
67,58657.21101849992,g,20.105499267578125,0.2379180043935776
74,58672.18165510008,g,20.04829978942871,0.1943230032920837
80,58681.167546300225,g,19.99530029296875,0.2979409992694855
84,58690.19478010014,g,19.954200744628906,0.1718990057706833
85,58693.23423610022,g,20.031400680541992,0.1939460039138794
93,58715.15416669985,g,20.033199310302734,0.1681089997291565
95,58718.15641199984,g,20.001399993896484,0.2370840013027191
98,58726.163807900164,g,19.909887313842773,0.2121502012014389
100,58852.52486110013,g,19.9375,0.1909060031175613
102,58855.502118099954,g,19.86941146850586,0.1871655434370041
117,58911.523553200066,g,20.046100616455078,0.2064090073108673
118,58914.480127300136,g,19.84760093688965,0.18235300481319427
121,58936.46236110013,g,20.033000946044922,0.19526599347591397
124,58943.41994210008,g,20.02090072631836,0.2683410048484802
129,58963.33362270008,g,19.964599609375,0.18462200462818146
130,58964.35706020008,g,19.98040008544922,0.1913810074329376
132,58967.29160880017,g,19.95490074157715,0.14742599427700046
134,58970.29499999993,g,20.188800811767575,0.23730899393558505
136,58973.27024309988,g,19.91830062866211,0.2588619887828827
138,58979.24824069999,g,19.8351993560791,0.224933996796608
142,58991.294143499814,g,20.026100158691406,0.186258003115654
145,58995.297557900194,g,20.04360008239746,0.15010400116443634
148,58998.352627300184,g,19.91270065307617,0.13654500246047974
154,59009.252905100126,g,19.92609977722168,0.17267799377441406
156,59012.295208300005,g,19.953100204467773,0.15964800119400024
160,59019.254722199876,g,19.98321533203125,0.17410126328468326
161,59022.1994097,g,20.047338485717773,0.21314314007759091
164,59025.231342600186,g,20.071985244750977,0.20474840700626373
165,59028.20112269978,g,20.21529960632324,0.2417359948158264
167,59031.188877299894,g,19.8887996673584,0.302841991186142
169,59034.195057900164,g,19.71500015258789,0.3709119856357575
172,59040.23172450018,g,19.86973571777344,0.14554361999034882
173,59043.190937499974,g,19.993778228759766,0.17065902054309845
176,59049.2073264001,g,19.91698265075684,0.1641489863395691
184,59248.503657400135,g,20.09140014648437,0.2847810089588165
188,59252.526006899774,g,19.94585609436035,0.1580285280942917
190,59254.52777779987,g,19.898988723754886,0.2110932171344757
193,59264.48335650005,g,19.98097419738769,0.16475476324558258
195,59266.503055599984,g,19.927499771118164,0.24585500359535215
196,59268.50346060004,g,20.141454696655273,0.2104835957288742
197,59270.439803199835,g,19.96579933166504,0.338934987783432
206,59290.42340280023,g,19.893205642700195,0.13119947910308838
207,59292.44062499981,g,19.900915145874023,0.1626424789428711
