,ant_mjd,ant_passband,ant_mag,ant_magerr
19,58992.26731480006,R,19.725500106811523,0.11446800082921982
20,58992.325208299786,g,19.709199905395508,0.15892599523067474
21,58995.26692129998,R,18.78400039672852,0.08683700114488603
22,58995.31101850001,g,19.090499877929688,0.09831099957227707
23,58998.28354169987,R,18.503299713134766,0.06471399962902069
24,58998.34395830008,g,18.77720069885254,0.0708480030298233
25,59001.26684030006,R,18.34510040283203,0.08428899943828583
26,59001.363240700215,g,18.57979965209961,0.08731800317764282
27,59004.27408559992,R,18.14699935913086,0.09009800106287004
28,59008.32636569999,R,18.190399169921875,0.07745099812746048
29,59009.21884260001,R,18.40850067138672,0.08623500168323517
30,59011.265937500175,R,18.297700881958008,0.07906399667263031
31,59011.28729170003,g,18.77720069885254,0.09765499830245973
32,59012.26317129983,R,18.393999099731445,0.06331399828195572
33,59012.304236100055,g,18.823699951171875,0.07132299989461899
34,59013.22454860015,g,18.89859962463379,0.09883599728345872
35,59014.247777800076,R,18.43239974975586,0.09484300017356873
36,59016.20638890006,g,19.13089942932129,0.11054500192403792
37,59016.247152800206,R,18.804500579833984,0.13377900421619415
38,59017.227812500205,g,19.17040061950684,0.08124800026416779
39,59017.265173600055,R,18.72610092163086,0.08285100013017654
40,59019.24188659992,R,18.90724754333496,0.0833664983510971
41,59019.26907410008,g,19.47439384460449,0.14125461876392365
42,59020.26028939989,R,18.96463966369629,0.10361415147781372
43,59021.21928239986,g,19.465728759765625,0.1309662014245987
44,59022.242604199804,R,18.9598445892334,0.08590909838676453
45,59023.20458329981,R,18.99199867248535,0.09706171602010727
46,59023.24537040014,g,19.836448669433594,0.1591690331697464
47,59024.235370399896,R,18.672231674194336,0.08439520746469498
48,59024.28084489983,g,19.704200744628906,0.22519099712371826
49,59025.20305560018,R,18.853166580200195,0.10294076055288316
50,59025.24237270001,g,19.963003158569336,0.17249025404453278
52,59026.262511599816,R,18.98229217529297,0.09902980178594588
53,59027.21982639981,g,19.97769927978516,0.2330549955368042
54,59027.264247700106,R,19.051267623901367,0.1111471951007843
55,59028.240544000175,R,19.050308227539066,0.09436912834644318
56,59028.34809029987,g,20.174182891845703,0.2020457983016968
60,59031.23848380009,R,19.040990829467773,0.10331425070762634
61,59032.23552080012,R,19.189058303833008,0.12914630770683289
64,59033.327974500135,R,19.01727294921875,0.15883536636829376
66,59034.34225689992,R,19.1829776763916,0.12697096168994906
68,59038.21587960003,R,19.4372615814209,0.10882728546857834
71,59041.258240699775,R,19.738977432250977,0.1310185045003891
