,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58331.166782400105,R,19.093799591064453,0.09714283794164658
11,58331.3037268999,g,19.016664505004886,0.1225568950176239
12,58334.16403939994,R,18.933000564575195,0.08746299892663956
13,58334.184965299915,g,18.861547470092773,0.09920206665992737
14,58337.178159699775,g,18.901838302612305,0.08350837230682373
15,58337.19593749987,R,18.871856689453125,0.08439920842647552
16,58344.16545139997,g,19.23259925842285,0.11866500228643415
17,58344.18329859991,R,19.044700622558594,0.0989610031247139
18,58347.20162039995,g,19.340843200683594,0.1332889050245285
20,58350.26068289997,g,19.590150833129886,0.1540406048297882
21,58353.17506940012,R,19.5180778503418,0.14653795957565308
22,58353.28123839991,R,19.54243278503418,0.1589711457490921
23,58357.26078699995,R,19.69599914550781,0.2407979965209961
24,58360.26107640006,R,19.70755958557129,0.17002129554748535
26,58363.22653939994,R,19.7867374420166,0.2110867947340012
