,ant_mjd,ant_passband,ant_mag,ant_magerr
43,59154.309224499855,g,19.469600677490234,0.2409320026636124
44,59156.27826389996,R,19.154109954833984,0.09632541239261627
47,59158.214421300225,R,19.028114318847656,0.12466567754745485
48,59158.28640050023,g,18.828832626342773,0.09328725188970566
49,59158.28687500022,g,18.85298728942871,0.12477651238441467
50,59158.337569400195,R,19.02737808227539,0.10145291686058044
51,59164.28092590022,R,18.908416748046875,0.11918402463197708
52,59164.352812500205,g,18.84550666809082,0.12196554243564604
53,59165.19292820013,g,18.712160110473636,0.07546023279428482
54,59165.23228010022,R,18.900470733642575,0.08657410740852356
55,59166.2905323999,R,18.88246154785156,0.09405782073736192
56,59167.23863429995,R,18.785137176513672,0.0933215320110321
57,59167.32517360012,g,18.86076164245605,0.11516056209802628
58,59168.21172450018,g,18.92319869995117,0.09131833910942078
59,59168.288252300124,R,18.86407852172852,0.09219840168952942
60,59169.25024309987,g,18.99930000305176,0.10538399964571
61,59169.282060199876,R,18.787342071533203,0.06427890807390213
62,59170.228298599824,g,18.97818756103516,0.10023796558380127
65,59171.37504629978,R,18.79737663269043,0.07906673848628998
66,59172.240914400194,g,19.142803192138672,0.10611318051815033
67,59173.19157409994,g,19.109399795532227,0.13171030580997467
68,59173.21156249987,R,19.005977630615234,0.09481789171695708
69,59174.25406249985,g,19.198387145996094,0.1437988430261612
70,59175.281122699846,g,19.395687103271484,0.1754881590604782
72,59176.25608799978,g,19.45929718017578,0.18138118088245392
73,59176.27920140001,R,19.137962341308594,0.11260055750608446
74,59178.09335649992,R,19.069168090820312,0.16500313580036166
75,59178.147488399874,g,19.68429946899414,0.2568039894104004
76,59178.172314799864,g,19.785436630249023,0.17598125338554382
83,59184.25783560006,R,19.284210205078125,0.17875966429710388
84,59184.2743981001,R,19.26053237915039,0.1893620193004608
91,59188.23759259983,R,19.580900192260746,0.2299669981002808
92,59188.23805559985,R,19.55229377746582,0.18731606006622314
101,59195.19494209997,R,20.333200454711914,0.2259600013494492
102,59195.21177079994,R,20.03156280517578,0.18015484511852264
