,ant_mjd,ant_passband,ant_mag,ant_magerr
13,58360.28320599999,R,18.746971130371094,0.09809228032827376
14,58363.18024310004,g,18.37326431274414,0.06775276362895966
15,58363.240405099925,R,18.5258731842041,0.06042778119444848
16,58366.21556709986,g,18.2819766998291,0.05057655274868012
17,58369.13689809991,R,18.357425689697266,0.06472653895616531
18,58369.28464120022,g,18.320392608642575,0.06666553020477295
19,58372.143923600204,R,18.35236167907715,0.06553244590759277
20,58372.26423610003,g,18.283405303955078,0.058499880135059364
21,58376.224027799915,g,18.482999801635746,0.07248599827289581
22,58379.15765050008,g,18.631000518798828,0.09701000154018402
23,58379.21994209987,R,18.32099914550781,0.057036001235246665
24,58382.140196800225,R,18.331499099731445,0.06995800137519836
25,58382.17406249978,g,18.740699768066406,0.09083700180053712
27,58386.24010419985,R,18.35313415527344,0.10521923750638963
29,58433.10417820001,R,19.109355926513672,0.15351861715316772
