,ant_mjd,ant_passband,ant_mag,ant_magerr
4,58432.49105319986,g,18.650400161743164,0.08658599853515625
5,58432.55340280012,R,19.140300750732425,0.17139999568462372
7,58438.486863399856,g,18.639299392700195,0.07017000019550322
8,58438.55707179987,R,18.751399993896484,0.08499299734830856
9,58441.48762729997,g,18.740100860595703,0.07650399953126907
10,58447.489131900016,R,19.027999877929688,0.12735800445079806
11,58450.51827549982,g,18.978599548339844,0.10472200065851213
12,58461.48335650005,g,19.51919937133789,0.16718299686908722
13,58461.53885419992,R,19.482799530029297,0.13921700417995453
14,58464.51765049994,g,19.76020050048828,0.1350730061531067
15,58464.5402199002,R,19.564899444580078,0.09440600126981737
18,58472.524386600126,g,19.98430061340332,0.1904499977827072
19,58476.5040972,R,19.906200408935547,0.20232999324798584
23,58486.5415277998,g,20.250600814819336,0.2378489971160889
24,58491.47418980022,g,20.471200942993164,0.2581889927387237
25,58491.52835649997,R,20.509300231933594,0.3188770115375519
26,58494.45313660009,R,20.57335662841797,0.16558700799942014
