,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58450.44932870008,g,20.54050064086914,0.22824199497699735
13,58461.514548600186,R,19.20509910583496,0.11504200100898745
14,58464.302581000135,R,19.054399490356445,0.105322003364563
15,58464.32640049978,g,18.92569923400879,0.08842600136995317
18,58474.32231480022,R,19.1117000579834,0.16150499880313873
19,58474.50740739983,g,19.147499084472656,0.25995200872421265
20,58480.280786999974,g,19.80159950256348,0.1676959991455078
21,58480.322476900175,R,19.467100143432614,0.11300300061702727
22,58486.445567099836,R,19.637531280517575,0.18244142830371854
25,58493.28270829981,R,20.220504760742188,0.18279562890529635
