,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58480.273912,g,19.661500930786133,0.18715499341487885
16,58482.21744209993,R,19.01259994506836,0.13323499262332916
17,58487.19362269994,g,19.289899826049805,0.14230300486087802
18,58487.23842590022,R,18.619800567626953,0.08134199678897858
19,58488.237777799826,g,19.10300064086914,0.115106001496315
20,58490.20686340006,R,18.3262996673584,0.06043900176882744
21,58491.18752310006,g,18.737699508666992,0.10180500149726868
22,58491.24368060008,R,18.224300384521484,0.06592100113630295
24,58493.224062500056,g,18.58329963684082,0.08017099648714067
25,58493.264016199864,R,18.072200775146484,0.06712999939918518
26,58494.17877310003,g,18.526100158691406,0.06804899871349335
28,58503.269895799924,R,17.924299240112305,0.14300499856472015
29,58504.284907400135,R,17.947200775146484,0.0919099971652031
30,58505.214224500116,g,18.18400001525879,0.11909099668264388
31,58507.18620370002,g,18.25629997253418,0.06000899896025658
32,58507.216018499814,R,17.774200439453125,0.0802920013666153
34,58510.21372690005,R,17.820499420166016,0.07960999757051468
35,58511.166909699794,g,18.2947998046875,0.09608499705791472
36,58514.13347220003,R,17.905099868774414,0.0480940006673336
37,58514.19056709996,g,18.488800048828125,0.09776999801397324
38,58522.148842600174,g,18.54800033569336,0.07464999705553055
39,58538.12491900008,R,17.87380027770996,0.07695499807596208
40,58542.139814800124,g,18.832399368286133,0.1060969978570938
41,58547.22209489998,g,19.325414657592773,0.17483726143836975
