,ant_mjd,ant_passband,ant_mag,ant_magerr
22,58480.305925900124,R,19.39559936523437,0.1543229967355728
23,58480.30638890015,R,19.51289939880371,0.20020300149917605
24,58483.09818289987,R,18.850400924682614,0.06692399829626082
25,58483.098657399874,R,18.829500198364254,0.08126100152730943
26,58483.134444400195,g,19.65390014648437,0.13903099298477173
27,58483.148240699906,g,19.581300735473636,0.15828299522399902
28,58483.17290510005,g,19.60219955444336,0.169296994805336
29,58486.138159700204,R,18.700199127197266,0.07406000047922134
30,58486.13912039995,R,18.70170021057129,0.07057499885559082
31,58487.185972199775,g,19.630199432373047,0.14868000149726868
32,58490.1183449002,g,20.21910095214844,0.25631898641586304
33,58490.14741900005,R,18.70669937133789,0.07197599858045578
34,58490.180081000086,R,18.747600555419922,0.073014996945858
36,58493.1384838,R,19.02140045166016,0.08267199993133545
37,58493.14417820005,R,19.04759979248047,0.097461000084877
40,58494.18748839991,g,20.89419937133789,0.28981998562812805
42,58503.11866899999,R,19.858299255371094,0.247189000248909
43,58503.13446759991,R,19.818588256835934,0.17800776660442352
