,ant_mjd,ant_passband,ant_mag,ant_magerr
13,58492.44763890003,R,18.177400588989254,0.13142399489879608
14,58493.441481499925,R,17.001399993896484,0.032774001359939575
15,58494.482754599776,g,16.356199264526367,0.035583999007940285
16,58502.44069440012,g,13.862099647521973,0.02041500061750412
17,58502.51859949995,R,13.918600082397461,0.026529999449849132
18,58507.469062500175,g,13.412799835205078,0.015907999128103256
19,58507.50981480022,g,13.411199569702148,0.017284000292420387
20,58510.28364579986,R,13.467599868774414,0.026197999715805054
21,58511.39243059978,R,13.456700325012207,0.031027000397443768
22,58513.43265049997,R,13.495400428771973,0.028586000204086307
23,58513.4397454001,R,13.487600326538086,0.02376599982380867
24,58522.411342599895,g,13.89449977874756,0.028963999822735783
26,58526.42313659983,g,14.25730037689209,0.020262999460101128
28,58534.36717589991,R,14.3774995803833,0.0191699992865324
29,58538.23613430001,R,14.499799728393555,0.034770000725984566
30,58538.27915510022,g,15.278400421142578,0.03089400008320808
31,58541.26931709983,g,15.504799842834473,0.030852999538183205
32,58541.27547449991,R,14.62689971923828,0.03720900043845177
33,58556.35603010002,g,16.090599060058597,0.03387400135397911
34,58558.18283559987,R,15.521599769592285,0.02548700012266636
35,58559.24275460001,R,15.53909969329834,0.03381500020623207
36,58559.309074100114,g,16.195499420166016,0.03811400011181832
37,58567.20560189989,g,16.28529930114746,0.0451820008456707
38,58572.2063310002,g,16.386499404907227,0.04921099916100502
39,58572.227372699876,R,15.989399909973145,0.026798000559210774
40,58574.21729170019,R,16.099199295043945,0.057277999818325036
41,58575.228784699924,R,16.095199584960938,0.06201500073075295
42,58575.275046300136,g,16.417400360107422,0.047254998236894614
43,58581.21041670023,g,16.53059959411621,0.03626599907875061
44,58581.23521990003,R,16.27120018005371,0.036552000790834434
45,58582.21469909978,R,16.319799423217773,0.02964900061488152
46,58584.18460649997,R,16.36319923400879,0.03191699832677841
47,58587.24814809999,g,16.600299835205078,0.03968600183725357
49,58587.256261600174,R,16.454900741577152,0.024003000929951668
50,58591.18302079989,g,16.684799194335938,0.04123599827289581
52,58591.358333299875,R,16.60260009765625,0.02779500000178814
53,58593.26944439997,R,16.649700164794922,0.04065600037574768
54,58594.157812499914,R,16.672700881958008,0.04177499935030937
55,58597.241874999825,R,16.76420021057129,0.043965999037027366
56,58597.25502309995,g,16.805200576782227,0.03215200081467628
57,58597.34747690009,R,16.772300720214847,0.040497999638319016
58,58601.26120370022,R,16.890899658203125,0.03739799931645394
59,58605.21228010021,g,16.917900085449222,0.03821500018239021
60,58608.206608800225,g,16.954999923706055,0.036986999213695526
61,58608.21640049992,R,17.093900680541992,0.043935000896453864
62,58612.176053199924,g,17.027900695800778,0.038256000727415085
63,58612.195740699775,R,17.201299667358402,0.044544998556375504
64,58617.24699069979,R,17.32670021057129,0.05483400076627731
65,58618.26502310018,R,17.373199462890625,0.04216700047254562
66,58634.171608800076,R,17.824600219726562,0.06668700277805327
67,58634.21856479999,g,17.338600158691403,0.06842699646949768
68,58637.176782399874,R,17.908100128173828,0.05021199956536293
69,58637.2222684999,g,17.381599426269528,0.056979000568389886
70,58640.17335649999,g,17.452299118041992,0.05762099847197533
71,58640.2219560002,R,17.971200942993164,0.06473200023174286
73,58647.23768519983,R,18.14539909362793,0.0906130000948906
74,58650.248368099805,R,18.194000244140625,0.08898399770259857
75,58662.20288190013,g,17.7230224609375,0.07057586312294006
76,58765.50554399983,g,19.24340057373047,0.17787200212478638
80,58776.539930600215,g,19.3080997467041,0.200544998049736
81,58781.47026620014,g,19.517099380493164,0.3137109875679016
82,58784.49234949984,g,19.57939910888672,0.2974109947681427
84,58789.5068518999,g,19.650676727294922,0.17109160125255585
87,58827.54548610003,g,20.305500030517575,0.26755198836326605
89,58830.54752309992,g,20.122900009155273,0.27097299695014954
91,58836.551828700125,g,20.192699432373047,0.2906560003757477
96,58849.49716439982,g,20.447099685668945,0.24740800261497495
98,58852.518078700174,g,20.553800582885746,0.26708900928497314
99,58852.54081019992,g,20.766000747680664,0.380171000957489
100,58853.496215300176,g,20.464763641357425,0.2080458700656891
