,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58494.51491900021,g,20.685300827026367,0.21931900084018707
11,58502.47454860015,g,17.470800399780273,0.05618499964475632
12,58502.53818289982,R,17.550600051879886,0.05349799990653992
13,58505.475023100145,g,16.923799514770508,0.04755200073122978
14,58505.55770830018,R,17.074800491333008,0.03591899946331978
15,58508.49012729991,R,16.839500427246097,0.0388140007853508
16,58508.54847220006,g,16.652799606323242,0.0376570001244545
17,58511.451053199824,g,16.489700317382812,0.03028699941933155
18,58511.5327198999,R,16.700199127197266,0.04275200143456459
19,58522.487800899886,g,16.747400283813473,0.0349310003221035
20,58526.46146989986,g,16.993000030517578,0.047540001571178436
21,58526.51817130017,R,17.067800521850586,0.040334001183509834
22,58534.42673610012,R,17.299200057983402,0.0504859983921051
23,58538.366701399915,R,17.391582489013672,0.0852159634232521
24,58538.41898149997,g,18.15839385986328,0.21583141386508944
25,58543.36604169988,R,17.44379997253418,0.057985998690128326
27,58567.30086810003,g,19.40239906311035,0.14785300195217133
28,58567.36866899999,R,18.50690078735352,0.08453500270843506
29,58572.35025459993,g,19.51219940185547,0.14546500146389008
30,58572.37299769978,R,18.62190055847168,0.09667500108480452
31,58575.32401619991,g,19.46299934387207,0.11492200195789334
33,58580.26371529978,g,19.570600509643555,0.12360899895429613
34,58580.36270829989,R,18.91010093688965,0.06667300313711166
35,58583.326562500086,R,18.983299255371094,0.10358499735593796
36,58586.245231499895,R,19.01799964904785,0.09353499859571457
37,58586.278969900224,g,19.65970039367676,0.14615799486637115
42,58596.218067099806,g,19.725500106811523,0.1585330069065094
43,58600.221423599876,g,19.88159942626953,0.2396239936351776
44,58606.27777779987,R,19.73139953613281,0.16294699907302854
45,58606.42540509999,g,19.930500030517575,0.14768299460411072
46,58612.236655099776,R,19.91399955749512,0.14483299851417542
47,58612.26793979992,g,20.03529930114746,0.14051300287246704
48,58616.174918999895,R,20.02079963684082,0.2245749980211258
51,58619.260150500115,g,19.67889976501465,0.2872399985790253
52,58628.206550899886,g,20.36090087890625,0.19807100296020508
53,58633.262928199954,g,20.31220054626465,0.1987770050764084
54,58633.30489580008,R,20.32939910888672,0.1669429987668991
55,58636.219745399896,R,20.51650047302246,0.23440200090408325
56,58636.28243059991,g,20.389911651611328,0.15494458377361298
57,58639.28238430014,R,20.670000076293945,0.25932300090789795
59,58642.3041087999,g,20.405000686645508,0.20015700161457065
60,58645.23719910019,g,20.357200622558594,0.3548009991645813
66,58654.200902800076,R,20.813899993896484,0.32242700457572937
68,58657.20109950006,g,20.795900344848636,0.324413001537323
70,58660.18547450006,g,20.774799346923828,0.2608509957790375
71,58660.2273610998,R,21.1156005859375,0.34248799085617065
72,58665.19996530004,g,20.593299865722656,0.24544699490070346
75,58668.196354200125,g,20.7255859375,0.20129533112049106
