,ant_mjd,ant_passband,ant_mag,ant_magerr
8,58502.52921300009,R,19.420799255371094,0.18508100509643555
9,58505.43828700018,g,18.49679946899414,0.16382700204849246
10,58505.50693289982,R,18.720600128173828,0.1824039965867996
11,58508.468576400075,R,18.241899490356445,0.07856500148773192
12,58508.52748840022,g,18.106599807739254,0.08262500166893005
13,58511.45776619995,g,17.786699295043945,0.06456699967384337
15,58522.4183565001,g,17.723600387573242,0.05069800093770027
16,58526.424097199924,g,17.94529914855957,0.07352899760007857
17,58534.275960599996,g,18.494199752807614,0.18233299255371094
18,58534.36666670023,R,18.310699462890625,0.13962599635124207
20,58538.28006940009,g,18.66519927978516,0.1450819969177246
21,58540.24068289995,R,18.409900665283203,0.08166500180959703
22,58540.254155099865,R,18.481800079345703,0.08158800005912781
23,58541.26885419991,g,18.941797256469727,0.1327955424785614
24,58557.24841440003,R,19.076400756835934,0.12130899727344513
25,58558.18145829997,R,19.092300415039066,0.16298599541187286
26,58558.20653939992,R,19.240800857543945,0.16091600060462952
27,58559.206701400224,R,19.19610023498535,0.11907999962568284
28,58559.250266199924,R,19.114299774169922,0.12577000260353088
31,58567.23613430001,R,19.437000274658203,0.10342500358819963
32,58567.250451399945,R,19.499399185180664,0.1203949972987175
33,58567.25687499996,g,20.41519927978516,0.2285919934511185
35,58572.259062500205,g,20.367599487304688,0.28262001276016235
36,58572.277557900175,R,19.66790008544922,0.1834950000047684
38,58574.215393499944,R,19.601200103759766,0.2475699931383133
40,58575.27630789997,g,20.487499237060547,0.1916159987449646
41,58580.20700229983,g,20.692800521850586,0.27389898896217346
43,58580.22410879983,R,19.819499969482425,0.1346690058708191
45,58582.20303239999,R,19.921300888061523,0.15531300008296967
46,58582.20348379994,R,19.8976993560791,0.14460299909114838
47,58583.26103009983,R,20.026931762695312,0.184231236577034
49,58585.19996530004,g,20.21190071105957,0.28764700889587397
56,58593.26762730022,R,20.055099487304688,0.295399010181427
57,58597.242337999865,R,20.410255432128906,0.19320113956928253
