,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58502.55406250013,R,18.917400360107425,0.08600500226020813
8,58505.4461110998,g,17.981399536132812,0.10334199666976927
9,58508.487800899886,R,17.841400146484375,0.05488700047135353
10,58511.450034699876,g,17.462699890136722,0.0455860011279583
11,58511.52993059997,R,17.63290023803711,0.046748001128435135
12,58514.4323148001,R,17.505699157714847,0.057539001107215874
13,58522.48596059997,g,17.609399795532227,0.05457200109958649
14,58522.538645800196,R,17.652099609375,0.04324200004339218
15,58526.45111110015,g,17.874300003051758,0.061709001660346985
16,58526.519664399784,R,17.893199920654297,0.05303199961781502
17,58534.35420140019,R,18.239599227905273,0.1618099957704544
18,58534.4244328998,R,18.27090072631836,0.1209309995174408
19,58538.36134260008,R,18.308799743652344,0.16205500066280365
21,58540.270416699816,R,18.34510040283203,0.09322699904441832
22,58543.34186339984,R,18.369199752807614,0.07464700192213057
24,58547.35091440008,g,19.63858795166016,0.15757077932357788
25,58547.35091440008,g,19.638599395751953,0.1575710028409958
27,58558.217696799904,R,19.108200073242188,0.12438300251960754
28,58559.268067100085,R,19.299800872802734,0.12913300096988678
32,58567.331203700036,R,19.403200149536133,0.13818199932575226
33,58572.30841440009,R,19.690099716186523,0.16188399493694305
34,58572.329919000156,g,20.390399932861328,0.2837130129337311
36,58575.3272338002,g,20.63800048828125,0.2620660066604614
38,58580.245243099984,g,19.906400680541992,0.2010390013456345
39,58580.28480320005,R,20.06180000305176,0.16059300303459167
40,58580.310011600144,g,20.56430053710937,0.2830860018730164
41,58580.35122689977,R,19.76000022888184,0.1481119990348816
42,58582.226689800154,R,19.983699798583984,0.17574800550937653
43,58583.283194399904,R,20.054000854492188,0.2710950076580048
44,58585.22888890003,g,20.180200576782227,0.26873698830604553
46,58586.27667819987,g,20.401100158691406,0.2969290018081665
47,58587.22543979995,g,19.975400924682614,0.2840760052204132
50,58589.26362269978,R,19.84959983825684,0.3004249930381775
53,58592.305127299864,R,20.03260040283203,0.3709760010242462
55,58596.19762729992,g,20.868799209594727,0.2916159927845001
56,58596.26943290001,R,20.057695388793945,0.205803856253624
59,58602.263136600144,R,20.31444358825684,0.21520651876926425
