,ant_mjd,ant_passband,ant_mag,ant_magerr
2,58503.51333330013,R,17.843799591064453,0.153438001871109
4,58507.55298609985,g,19.43180084228516,0.18560199439525604
5,58509.49165510014,R,18.289100646972656,0.13941499590873718
6,58512.52762730001,R,18.324800491333008,0.19093400239944455
7,58512.55399309984,g,19.18790054321289,0.13352900743484494
8,58522.512928199954,g,19.158100128173828,0.13556399941444394
9,58522.54856480006,R,17.97920036315918,0.06433899700641632
10,58526.524976899855,R,18.25824737548828,0.09017367660999298
15,58556.504536999855,R,19.238000869750977,0.14728400111198425
16,58560.43991900002,R,19.325899124145508,0.15691399574279785
19,58568.48228010022,R,19.520700454711914,0.2306099981069565
20,58572.45634259983,R,19.5039005279541,0.1199060007929802
22,58575.43780090008,R,19.695232391357425,0.12870344519615173
