,ant_mjd,ant_passband,ant_mag,ant_magerr
16,58505.48587960005,g,19.489599227905273,0.3003149926662445
18,58505.550162000116,R,19.351999282836914,0.22121599316596985
19,58508.505289400004,R,18.84970092773437,0.1121470034122467
20,58508.51592590008,R,18.97769927978516,0.12370900064706802
21,58511.48938659997,g,18.35759925842285,0.11142999678850174
22,58511.489849499885,g,18.441600799560547,0.08970899879932404
23,58522.51569439982,g,18.29439926147461,0.06468799710273743
24,58522.516145799775,g,18.28619956970215,0.09847500175237656
25,58522.54055560008,R,18.32670021057129,0.06120700016617775
26,58526.468483800076,g,18.58769989013672,0.11516500264406206
27,58526.468946800094,g,18.60300064086914,0.10083100199699402
28,58526.51013890003,R,18.42620086669922,0.06522999703884125
29,58526.51059029997,R,18.44529914855957,0.10542699694633484
30,58534.395324099816,R,18.58919906616211,0.15236499905586245
32,58538.482835600145,R,19.092599868774414,0.1752060055732727
33,58538.50232640003,R,19.059600830078125,0.2104099988937378
34,58541.439606499865,g,19.91790008544922,0.17165499925613406
35,58541.48510419997,R,19.06209945678711,0.13904300332069394
36,58541.48556709987,R,19.058900833129886,0.11566100269556046
37,58547.39312499993,g,20.539600372314453,0.4311699867248535
38,58547.41518520005,g,20.19510078430176,0.22422100603580475
39,58547.478437500075,R,19.23480033874512,0.09239000082015993
40,58547.4996181,R,19.228116989135746,0.09773915261030196
41,58547.4996181,R,19.228099822998047,0.09773900359869003
42,58556.43449069979,R,19.82349967956543,0.161872997879982
43,58556.435868099805,R,19.78730010986328,0.15624700486660004
47,58560.37520830008,R,19.944900512695312,0.22931100428104398
48,58560.38092589984,R,19.6099853515625,0.1603650450706482
