,ant_mjd,ant_passband,ant_mag,ant_magerr
15,58511.18400460017,g,20.273700714111328,0.1993110030889511
18,58522.18307870022,g,18.08580017089844,0.05535700172185898
19,58522.207615700085,R,18.1835994720459,0.05580800026655197
20,58526.20659720013,R,17.996000289916992,0.05937200039625168
21,58534.22325230017,R,18.23859977722168,0.10170499980449677
22,58534.25370369991,g,18.23080062866211,0.09701599925756453
24,58540.24991900008,R,18.57379913330078,0.06894200295209885
25,58547.11570600001,R,18.756500244140625,0.09394799917936324
28,58559.19921300002,R,19.241199493408203,0.16108499467372894
29,58562.127361100174,R,19.144771575927734,0.16100561618804932
