,ant_mjd,ant_passband,ant_mag,ant_magerr
8,58511.48887730017,g,19.539600372314453,0.1369429975748062
9,58511.54878470022,R,19.810400009155273,0.20608200132846832
10,58522.50592589984,g,17.29800033569336,0.04739499837160111
11,58526.53097219997,R,17.127899169921875,0.04007900133728981
12,58534.413391199894,R,17.006999969482422,0.058490000665187836
13,58538.50785879978,R,16.962099075317386,0.055413000285625465
14,58538.53608800005,g,17.41360092163086,0.059647999703884125
15,58541.44993059988,g,17.626667022705078,0.052098456770181656
16,58547.53425930021,R,17.22610092163086,0.056409001350402825
17,58558.2963657002,R,17.555099487304688,0.06227000057697296
18,58567.5162037001,g,18.88319969177246,0.11205200105905533
19,58567.52859950018,R,17.986799240112305,0.05146300047636032
20,58572.44706019992,R,18.090599060058594,0.0739310011267662
21,58572.494004600216,g,18.985300064086914,0.08529199659824371
23,58575.43004629994,R,18.14780044555664,0.052845001220703125
24,58575.489988400135,g,19.096099853515625,0.13338899612426758
25,58580.371157399844,R,18.2893009185791,0.059893000870943076
26,58580.42835649987,g,19.01679992675781,0.09536699950695038
27,58580.47440969991,R,18.22949981689453,0.04961299896240234
28,58583.38336810004,g,19.21190071105957,0.14636899530887604
29,58586.386249999974,R,18.415700912475586,0.0750960037112236
30,58586.44644680014,g,19.1830997467041,0.09628999978303908
31,58589.289351900115,R,18.28089904785156,0.16968399286270142
35,58593.30636569997,R,18.370899200439453,0.08169200271368028
36,58596.4021528,R,18.491899490356445,0.061425000429153435
37,58596.468553199906,g,19.26140022277832,0.15625299513339996
38,58602.30277779978,R,18.59760093688965,0.0864029973745346
39,58605.3850579001,R,18.632200241088867,0.0781479999423027
40,58606.28334489978,R,18.64539909362793,0.08562099933624268
41,58608.323611100204,g,19.36289978027344,0.10952199995517732
42,58608.36888890015,R,18.648099899291992,0.07339499890804291
43,58612.352812500205,R,18.68919944763184,0.07389699667692183
44,58616.385300899856,R,18.776599884033203,0.07836899906396866
45,58616.44730320013,g,19.42930030822754,0.10511499643325806
46,58617.284247700125,R,18.80340003967285,0.09466999769210817
47,58618.228344900075,R,18.77117729187012,0.08414719998836517
49,58619.34555559978,R,18.73419952392578,0.17167900502681732
50,58627.36835649982,R,18.902999877929688,0.09353499859571457
51,58632.296411999974,R,18.994600296020508,0.10686200112104416
52,58632.35149310018,g,19.556699752807614,0.12699900567531586
53,58635.222048600204,g,19.604700088500977,0.11680299788713455
54,58635.27682870022,R,19.004600524902344,0.07713399827480316
55,58638.25930560008,R,19.0674991607666,0.07197099924087524
56,58638.34002309991,g,19.59029960632324,0.11464200168848038
57,58641.24278939982,g,19.66710090637207,0.1047009974718094
58,58641.301203699775,R,19.093900680541992,0.07225999981164932
59,58644.22513889987,g,19.705799102783203,0.14897599816322327
60,58644.28606479988,R,19.15180015563965,0.08501099795103073
61,58647.22194440012,g,19.696800231933594,0.20120400190353396
62,58647.26171300002,R,19.149999618530273,0.10173200070858003
63,58650.219988400124,g,19.829700469970703,0.3056190013885498
64,58650.269282400135,R,19.353700637817386,0.161421999335289
65,58653.199340300176,R,19.204599380493164,0.11045999825000764
66,58653.28765049996,g,19.8356990814209,0.2244639992713928
67,58657.22527780012,g,19.90900039672852,0.12953299283981326
68,58657.371412000146,R,19.17490005493164,0.12235599756240845
69,58660.198738399886,g,19.918100357055664,0.14804600179195404
70,58660.245960600216,R,19.32740020751953,0.0761289969086647
71,58663.31129630003,R,19.379499435424805,0.09035000205039978
72,58666.2489120001,g,19.94379997253418,0.1345299929380417
73,58666.266875000205,R,19.452199935913086,0.11804299801588057
74,58669.20681709983,g,19.941699981689453,0.15022100508213046
75,58669.31883100001,R,19.40719985961914,0.09149400144815444
76,58672.21670140001,R,19.499099731445312,0.11263900250196456
77,58672.30452550016,g,19.984100341796875,0.1380700021982193
78,58675.256713000126,R,19.467500686645508,0.09740699827671052
80,58678.19913189997,R,19.52359962463379,0.11708299815654755
83,58681.26307869983,R,19.49040031433105,0.15695899724960327
84,58684.18079859996,R,19.666799545288086,0.1233770027756691
85,58684.197835599996,g,20.260099411010746,0.15203599631786344
86,58688.206412000116,g,20.36540031433105,0.19020700454711914
87,58691.17934030014,R,19.67639923095703,0.12330999970436095
88,58691.21487270017,g,20.2362003326416,0.16072799265384674
89,58694.218020800035,g,20.21139907836914,0.22223599255084991
90,58697.175995400175,R,19.884700775146484,0.12532000243663788
91,58697.19855319987,g,20.49659919738769,0.24053600430488584
92,58700.1819329001,R,19.72920036315918,0.12410599738359453
93,58704.187233800076,R,19.89229965209961,0.16024599969387054
94,58707.181562500075,R,19.815000534057614,0.16124099493026733
98,58713.23935189982,R,19.772600173950195,0.383109986782074
99,58716.15560190008,g,20.911699295043945,0.2962599992752075
100,58720.161527799915,g,20.681299209594727,0.30480700731277466
101,58723.14146990003,R,19.91029930114746,0.1653359979391098
102,58723.18450229988,g,20.880199432373047,0.3394330143928528
103,58726.140914400115,R,20.013399124145508,0.1923000067472458
104,58726.151805600144,g,20.8882999420166,0.3391239941120148
112,58744.125405100174,R,20.27398109436035,0.18704001605510712
