,ant_mjd,ant_passband,ant_mag,ant_magerr
8,58524.41961809992,g,19.340499877929688,0.1493390053510666
9,58524.46474540001,R,19.52079963684082,0.13062499463558194
10,58539.314861100174,R,18.29759979248047,0.147940993309021
11,58539.37895830022,g,18.319900512695312,0.079305000603199
12,58543.355347199824,R,18.444900512695312,0.05487300083041191
13,58547.33503470012,g,18.577699661254886,0.08610499650239943
14,58557.263402800076,R,18.71389961242676,0.09814800322055817
16,58560.23268519994,g,19.36090087890625,0.27155500650405884
17,58560.336608800106,R,18.738800048828125,0.10118299722671507
18,58567.25260420004,g,19.9025993347168,0.15017500519752502
19,58567.356319400016,R,18.98909950256348,0.10458800196647644
20,58573.2730556,R,19.15530014038086,0.11370199918746947
22,58581.253368100144,R,19.45249938964844,0.1172029972076416
23,58581.29596060003,g,20.35569953918457,0.2714030146598816
24,58584.25237269978,g,20.38360023498535,0.2817499935626984
25,58584.29605320003,R,19.56999969482422,0.1412850022315979
27,58587.25258099986,R,19.661108016967773,0.2128413170576096
