,ant_mjd,ant_passband,ant_mag,ant_magerr
5,58524.44196760002,R,19.796831130981445,0.20360414683818814
7,58539.29665509983,R,19.159099578857425,0.23861399292945865
8,58543.25401620008,R,19.07570075988769,0.23599499464035034
13,58560.31664349978,R,19.0674991607666,0.17041899263858795
15,58568.273888899945,R,18.88409996032715,0.1090010032057762
17,58573.232245400075,R,18.803300857543945,0.1013059988617897
18,58581.23202549992,R,18.817699432373047,0.08646000176668167
19,58584.16861109994,R,18.747100830078125,0.08451099693775177
22,58587.292719900135,R,18.929100036621094,0.17803800106048584
25,58598.142175899826,R,18.80220031738281,0.09342800080776216
26,58601.25388889993,R,18.94418716430664,0.1066673994064331
