,ant_mjd,ant_passband,ant_mag,ant_magerr
11,58538.259687500075,g,19.140100479125977,0.17063899338245392
12,58540.21741899987,R,19.16320037841797,0.08333399891853333
13,58541.284305599984,R,19.191600799560547,0.2397810071706772
14,58547.19467590004,R,18.77829933166504,0.07294300198554993
15,58547.28793979995,g,18.799400329589844,0.07801199704408646
16,58556.168275500175,R,19.05649948120117,0.13243700563907626
17,58559.15108799982,g,19.51180076599121,0.20310300588607788
20,58567.194305600126,g,20.109899520874023,0.22610899806022644
21,58567.21549770003,R,19.61669921875,0.12620200216770172
22,58572.21670140001,R,19.632999420166016,0.2068980038166046
27,58582.195439800154,R,20.016128540039066,0.17149168252944946
