,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58541.28758100001,R,19.297700881958008,0.23404599726200104
8,58547.17253470003,R,18.677600860595703,0.08957400172948837
9,58547.17253470003,R,18.677600860595703,0.08957400172948837
10,58547.28976849979,g,18.752899169921875,0.08832500129938126
11,58556.18984950008,R,18.604900360107425,0.09993000328540802
12,58556.27078700018,g,18.737600326538086,0.09831400215625764
13,58561.17818289995,R,18.847999572753906,0.14596199989318848
15,58567.146076399826,R,19.15690040588379,0.0901160016655922
16,58567.17056709993,g,19.541900634765625,0.15580999851226807
17,58572.14604170014,R,19.176700592041016,0.1884399950504303
23,58584.15737270005,R,19.675426483154297,0.198726549744606
