,ant_mjd,ant_passband,ant_mag,ant_magerr
9,58558.20744210017,R,19.480100631713867,0.18127599358558652
10,58559.24842590001,R,19.314699172973636,0.1394129991531372
11,58559.25325229997,R,19.28160095214844,0.16498200595378876
12,58559.33306710003,g,19.459400177001953,0.21525299549102786
13,58567.20651620022,g,19.142000198364254,0.13739700615406036
14,58567.23381939996,R,18.696399688720703,0.07907599955797195
15,58567.253564800136,g,19.10810089111328,0.15132500231266022
16,58572.206782400135,g,19.288400650024414,0.20476900041103366
17,58572.25484950003,g,19.34950065612793,0.17028599977493286
18,58572.276169000186,R,18.82360076904297,0.12216000258922576
19,58572.277071800076,R,18.721900939941406,0.08840999752283096
24,58575.2745949002,g,19.461299896240234,0.09727100282907486
25,58580.20517359999,g,19.991300582885746,0.2130350023508072
26,58580.228298599824,R,19.09119987487793,0.10376500338315964
27,58580.232199099846,g,20.074199676513672,0.2083729952573776
28,58580.23267359985,g,20.084800720214844,0.20364899933338165
29,58582.222986099776,R,19.180200576782227,0.09885500371456146
30,58583.25916669984,R,19.20439910888672,0.11002500355243684
31,58583.26008100017,R,19.20669937133789,0.08918300271034241
32,58585.20136569999,g,20.333499908447266,0.2894519865512848
34,58586.171203699894,g,20.288799285888672,0.26936399936676025
35,58586.189838000115,R,19.195899963378906,0.13729600608348844
36,58586.213935200125,R,19.18280029296875,0.10722500085830687
41,58593.282986099824,R,19.703500747680664,0.2902170121669769
42,58594.156446800094,R,19.586200714111328,0.10218700021505356
43,58594.157349499874,R,19.5802001953125,0.190418004989624
44,58597.244641200174,R,19.816200256347656,0.1322609931230545
47,58597.329490699805,R,19.8612003326416,0.20193399488925934
48,58597.34839119995,R,19.76000022888184,0.13191699981689453
51,58601.25664350018,R,20.17040061950684,0.19419999420642853
52,58601.260300899856,R,20.01309967041016,0.13601799309253693
58,58608.21548609994,R,20.34918212890625,0.16443485021591187
