,ant_mjd,ant_passband,ant_mag,ant_magerr
3,59131.51064810018,R,16.170099258422848,0.06930900365114212
15,59150.430937500205,g,18.433807373046875,0.10566332191228868
19,59152.514756899785,g,19.00434875488281,0.14479772746562958
20,59155.406701399945,g,18.629032135009766,0.15073254704475406
23,59157.48995369999,R,17.564363479614258,0.0786413848400116
24,59157.52541670018,g,17.980432510375977,0.07335565239191055
25,59159.477604200125,R,17.184009552001953,0.04440409690141678
26,59159.52668979997,g,17.506244659423828,0.06294681876897812
27,59165.38951390004,g,16.61392593383789,0.03886249288916588
28,59165.42976849992,R,16.437089920043945,0.04477223753929138
29,59167.488588000175,R,16.246009826660153,0.02558751963078976
30,59167.52604170004,g,16.41433334350586,0.0338718555867672
31,59169.49023150001,g,16.356401443481445,0.031121060252189636
32,59169.51855320018,R,16.177217483520508,0.031654298305511475
33,59171.492673600085,R,16.134565353393555,0.033260632306337364
34,59175.50704859988,R,16.170623779296875,0.03170061483979225
36,59180.48627310013,g,17.119062423706055,0.05153490230441093
37,59180.54951390019,R,16.57491111755371,0.06122025102376937
38,59182.49126160005,R,16.523117065429688,0.03816530480980873
39,59182.55416670023,g,17.389102935791016,0.0614168755710125
40,59185.47564810003,R,16.689922332763672,0.04697336629033089
41,59185.49959489983,g,17.595426559448242,0.0672331154346466
42,59187.46656250022,R,16.791999816894528,0.054329000413417816
44,59189.492604199804,g,17.688058853149414,0.05527367442846298
45,59192.498773099855,R,17.001005172729492,0.08146130293607713
46,59194.451585600145,g,18.121700286865234,0.08185700327157974
47,59194.4926967998,R,17.21980094909668,0.05157199874520302
48,59196.49936340004,R,17.247085571289062,0.05172088742256165
50,59199.41356479983,R,17.364673614501953,0.05588330700993538
51,59199.53730319999,g,18.401485443115234,0.0966692641377449
54,59202.531354200095,R,17.680946350097656,0.0984935313463211
65,59217.3650463,R,17.753196716308594,0.048093661665916436
68,59219.358136599876,R,17.805776596069336,0.06268936395645143
70,59219.402592599865,g,18.560382843017575,0.08781567960977554
73,59221.40890049982,R,17.71309471130371,0.05285142734646797
74,59223.38453700022,g,18.94122886657715,0.16618433594703674
75,59223.451574100174,R,17.951711654663086,0.09034392982721327
77,59225.40299770003,R,17.95639991760254,0.0819609984755516
78,59225.44994209986,g,18.80579948425293,0.15495313704013824
83,59229.415879600216,R,17.912904739379886,0.08358485996723175
95,59258.36019679997,g,18.8216495513916,0.11011002957820892
97,59262.322719899945,g,19.09974479675293,0.12130272388458252
105,59270.30667820013,R,18.765085220336914,0.14839738607406616
