,ant_mjd,ant_passband,ant_mag,ant_magerr
1,58567.22870370001,R,18.345199584960934,0.054246000945568085
2,58567.270740699954,g,18.226299285888672,0.077115997672081
3,58572.208634300165,g,18.22909927368164,0.11130599677562714
4,58575.25516200018,g,18.174299240112305,0.07169900089502335
5,58581.211365699775,g,18.2893009185791,0.08247300237417221
6,58581.234317100134,R,18.16710090637207,0.06010000035166741
7,58584.185972199775,R,18.14609909057617,0.08057799935340881
8,58584.227037,g,18.379600524902344,0.07256799936294556
9,58591.18579859985,g,18.570899963378906,0.13296300172805786
10,58591.335648099885,R,18.003799438476562,0.1207360029220581
11,58594.154606500175,R,18.14349937438965,0.0471780002117157
13,58598.187036999974,R,18.22669982910156,0.05361999943852425
14,58601.2593866,R,18.21629905700684,0.057146001607179635
15,58605.16405089991,R,18.2898006439209,0.04950100183486938
16,58608.19075229997,g,18.98111343383789,0.11843863874673845
