,ant_mjd,ant_passband,ant_mag,ant_magerr
12,58596.481319400016,g,19.51889991760254,0.2219969928264618
13,58597.435370400075,R,19.372800827026367,0.10828399658203124
14,58600.39192129998,g,18.22760009765625,0.06226800009608269
15,58602.30413189996,R,18.082799911499023,0.059418998658657074
16,58605.398900500026,R,17.734100341796875,0.05448399856686592
17,58606.29199070018,R,17.691499710083008,0.055254999548196786
18,58608.3165972,g,17.48270034790039,0.05438600108027458
19,58608.339236100204,R,17.586200714111328,0.05728799849748613
20,58612.42253470003,R,17.435199737548828,0.059849001467227936
21,58616.276435200125,g,17.512100219726562,0.06090699881315231
22,58616.37847220013,R,17.46940040588379,0.060589998960495
23,58618.23436339991,R,17.511100769042972,0.062011998146772385
26,58632.33328700018,R,18.137699127197266,0.07635899633169174
27,58632.33984949999,g,18.8567008972168,0.08940999954938889
28,58635.21555559988,g,19.094200134277344,0.10741399973630904
29,58635.28846060018,R,18.17449951171875,0.06258299946784973
30,58638.26953699999,R,18.29290008544922,0.07450699806213379
31,58638.350752300124,g,19.31559944152832,0.10004299879074097
32,58641.231261599816,g,19.662500381469727,0.1995999962091446
33,58641.293287000146,R,18.42250061035156,0.09923399984836577
34,58644.21127310023,g,19.68819999694824,0.20205900073051453
35,58644.273541700095,R,18.63050079345703,0.10972700268030168
37,58647.214513900224,g,19.7632999420166,0.2408310025930405
38,58647.27269680007,R,18.68090057373047,0.11858300119638444
41,58653.208159700036,R,19.050899505615234,0.11628500372171402
43,58657.213275500115,g,19.97129440307617,0.1541260927915573
45,58660.20480319997,g,20.23220443725586,0.20640569925308228
