,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58602.269664399784,R,19.72220039367676,0.28663501143455505
15,58606.231006899856,R,19.444000244140625,0.11535900086164474
16,58606.248645800166,R,19.49650001525879,0.1293489933013916
17,58606.39951389981,g,19.2283992767334,0.10269100219011308
18,58608.266678200096,R,19.40850067138672,0.09592799842357637
19,58612.230717599865,R,19.148500442504886,0.11785399913787843
20,58612.27478010021,g,19.03610038757324,0.09101299941539764
21,58616.233923600055,g,19.001300811767575,0.1100419983267784
22,58616.2995023001,R,18.999900817871094,0.1096310019493103
23,58617.26821759995,R,19.05579948425293,0.1377740055322647
24,58618.22373839981,R,19.052600860595703,0.11011099815368652
25,58619.320185199846,R,18.741199493408203,0.19886399805545807
26,58628.21435189992,g,19.011199951171875,0.10099100321531296
27,58628.300462999854,R,18.959800720214844,0.09710200130939484
28,58633.25785879978,g,19.006399154663086,0.09507200121879578
29,58633.30245369999,R,18.90069961547852,0.08300399780273438
30,58636.22498840001,R,18.812299728393555,0.08889199793338776
31,58636.25542820013,g,19.083499908447266,0.0921420007944107
32,58639.23540510005,g,19.075899124145508,0.09286200255155563
33,58639.27710650022,R,18.869600296020508,0.08792900294065475
34,58642.232303199824,R,18.967599868774414,0.08013699948787689
35,58642.2993402998,g,19.182600021362305,0.0932060033082962
36,58645.23472219986,g,19.13710021972656,0.14624600112438202
37,58645.278530099895,R,18.943599700927734,0.1338520050048828
38,58648.21204859996,R,18.902700424194336,0.119548000395298
40,58651.192951399826,g,19.21080017089844,0.2152930051088333
41,58651.250428199775,R,18.975900650024414,0.13189800083637238
42,58654.193391200155,R,19.0580997467041,0.10565900057554244
43,58654.243807900224,g,19.22909927368164,0.1210469976067543
44,58657.19359950023,g,19.367599487304688,0.11195699870586397
45,58657.257638900075,R,19.05739974975586,0.0995739996433258
46,58660.19114580005,g,19.503000259399414,0.10822100192308426
47,58660.215659699876,R,19.077199935913086,0.0942479968070984
48,58663.195729199804,R,19.120800018310547,0.0770770013332367
49,58666.20605320018,g,19.53249931335449,0.11776699870824815
50,58669.187951399945,R,19.113300323486328,0.10339099913835527
51,58672.17842590017,g,19.613100051879886,0.15545299649238584
52,58672.19706019992,R,19.23740005493164,0.10799600183963776
53,58675.23685189989,R,19.33699989318848,0.14404000341892242
54,58675.30217589997,g,19.799999237060547,0.3676779866218567
55,58678.19585649995,R,19.329099655151367,0.11335600167512895
56,58678.256955999874,g,19.48390007019043,0.1602800041437149
57,58681.17076390004,g,19.636499404907227,0.24759599566459656
58,58681.2410995001,R,19.34589958190918,0.1699880063533783
59,58684.207580999944,g,19.65959930419922,0.139383003115654
60,58689.17724539992,R,19.36529922485352,0.11601900309324265
62,58692.19545139978,g,19.840900421142575,0.16085700690746307
66,58705.16016199999,R,19.534006118774414,0.1580183058977127
