,ant_mjd,ant_passband,ant_mag,ant_magerr
20,58605.23432870022,g,19.495899200439453,0.15788400173187256
21,58606.24310189997,R,19.212499618530273,0.08342400193214418
22,58608.20796300005,g,18.6692008972168,0.08344099670648575
23,58608.2150347,R,18.840499877929688,0.06844499707221985
24,58612.17372690002,g,18.141599655151367,0.0654980018734932
25,58612.19298609997,R,18.355899810791016,0.07041800022125244
26,58618.26793979992,R,18.102754592895508,0.061646509915590286
28,58622.15783559997,g,17.909700393676758,0.20023399591445926
29,58634.18504629983,R,18.86160087585449,0.09244699776172638
30,58634.194826399915,g,18.954099655151367,0.10524000227451323
31,58637.1785995001,R,18.858299255371094,0.0863960012793541
32,58637.22318289987,g,19.298900604248047,0.13813799619674685
33,58640.171990700066,g,19.454099655151367,0.2036540061235428
34,58640.22059029992,R,18.961700439453125,0.10151199996471404
35,58645.1949306,g,19.96660041809082,0.37849798798561096
37,58648.19702549977,R,19.280000686645508,0.1816290020942688
39,58651.23699070001,R,19.22569274902344,0.21480710804462436
40,58654.175844899844,R,19.47295379638672,0.13933560252189636
