,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58606.35744210008,R,19.34480094909668,0.17375099658966064
11,58612.294652800076,g,18.72260093688965,0.07526999711990356
12,58612.33696760005,R,18.74920082092285,0.10344400256872176
13,58616.27417819993,g,18.712900161743164,0.09528400003910063
14,58616.36078700004,R,18.740800857543945,0.09963499754667282
15,58619.269467600156,g,19.11050033569336,0.18569500744342804
16,58619.33515049982,R,19.022199630737305,0.2730250060558319
19,58632.342129599776,g,20.345399856567386,0.22652900218963626
20,58635.21328700008,g,20.504199981689453,0.30134400725364685
22,58638.270960600115,R,19.594581604003906,0.15666861832141876
