,ant_mjd,ant_passband,ant_mag,ant_magerr
15,58612.246018500075,R,19.46940040588379,0.11134900152683258
16,58612.29200229981,g,19.260799407958984,0.1107880026102066
17,58616.17074069986,R,18.772499084472656,0.10602699965238573
18,58616.234375,g,18.92840003967285,0.1192450001835823
19,58618.22276620008,R,18.71567916870117,0.11020193994045258
20,58619.25366900022,g,18.69540023803711,0.18230700492858887
21,58628.28965280019,R,18.688499450683594,0.06426200270652771
22,58633.19046299997,R,18.645000457763672,0.08780500292778015
23,58633.24482640019,g,19.04330062866211,0.08652999997138977
24,58636.22209489998,R,18.55150032043457,0.07194600254297256
25,58636.25689810003,g,19.174999237060547,0.0946049988269806
26,58639.238240700215,g,19.272600173950195,0.09439600259065628
27,58642.20068289992,g,19.350400924682614,0.1455720067024231
28,58642.23378469981,R,18.713499069213867,0.08199500292539598
29,58645.235648099806,g,19.38990020751953,0.1265459954738617
30,58645.27898149983,R,18.77059936523437,0.091048002243042
31,58648.183321800076,g,19.31800079345703,0.1594730019569397
32,58648.21343749993,R,18.71310043334961,0.09310200065374374
33,58651.17151620006,g,19.460899353027344,0.2750749886035919
34,58651.24854170019,R,18.69969940185547,0.11305899918079375
35,58654.195775500026,R,18.697399139404297,0.08378899842500688
36,58654.25843749987,g,19.46330070495605,0.17311200499534607
37,58657.19548609993,g,19.505300521850586,0.1626420021057129
38,58657.26936340006,R,18.74049949645996,0.08495599776506424
39,58660.22135420004,R,18.74659919738769,0.09204600006341934
40,58663.19854169991,R,18.783700942993164,0.0932300016283989
41,58663.22943289997,g,19.50629997253418,0.11689899861812593
42,58667.19506940013,g,19.590200424194336,0.11064399778842926
43,58667.2156134001,R,18.793699264526367,0.07814999669790268
44,58670.177743100096,R,18.747499465942386,0.08072300255298615
45,58670.19379629986,g,19.62350082397461,0.15102100372314453
49,58676.206759300076,R,18.778400421142575,0.10471999645233154
51,58679.20607639988,R,18.702600479125977,0.07996100187301636
52,58682.17016200023,g,19.674999237060547,0.20095500349998474
53,58682.250127300154,R,18.750600814819336,0.1167140007019043
54,58685.1837847,g,19.625999450683594,0.1495860069990158
55,58692.18753470015,R,18.796300888061523,0.13129496574401855
56,58692.19362269994,g,19.68634605407715,0.16511420905590055
57,58701.16127309995,R,18.88990020751953,0.2257159948348999
58,58715.15784720006,g,20.14119911193848,0.32616499066352844
60,58724.137199100114,R,19.39554023742676,0.20853441953659055
