,ant_mjd,ant_passband,ant_mag,ant_magerr
19,58612.247928199824,R,20.39559936523437,0.19662299752235413
20,58612.25276619988,g,20.280799865722656,0.2212419956922531
21,58616.16892360012,R,19.624000549316406,0.15643499791622162
22,58616.225590299815,g,19.29490089416504,0.17549000680446625
23,58618.26694440004,R,19.32159996032715,0.2008800059556961
24,58619.23072919994,g,19.045000076293945,0.2437810003757477
25,58628.211620400194,g,18.89349937438965,0.09110700339078903
26,58628.28729170003,R,18.958999633789066,0.08917900174856186
27,58633.207569399856,R,19.11370086669922,0.09200000017881392
28,58633.2583217998,g,19.060699462890625,0.09874700009822844
29,58636.22452550009,R,19.19939994812012,0.08527400344610214
30,58636.254039399784,g,19.30680084228516,0.11094900220632553
31,58639.170312500086,R,19.37459945678711,0.12643299996852875
32,58639.23680560011,g,19.621700286865234,0.12311600148677825
33,58642.19559030003,g,19.767900466918945,0.1540050059556961
34,58642.23277779994,R,19.633100509643555,0.14549799263477325
35,58645.211631900165,g,19.790000915527344,0.21086600422859192
36,58648.191481499925,R,19.86949920654297,0.28448501229286194
38,58651.23289350001,R,19.810800552368164,0.26243001222610474
39,58654.19292820013,R,20.0408992767334,0.18226400017738345
42,58657.270740699954,R,20.03546905517578,0.18928201496601105
43,58660.21474540001,R,20.09002685546875,0.15824945271015167
