,ant_mjd,ant_passband,ant_mag,ant_magerr
8,58628.197754600085,g,18.15959930419922,0.06730800122022629
9,58633.17131939996,R,17.695499420166016,0.05401099845767021
10,58633.24246530003,g,17.62420082092285,0.04736199975013733
11,58636.242337999865,g,17.615299224853516,0.044454000890254974
12,58639.182384300046,R,17.603500366210938,0.05014900118112564
13,58639.22410879983,g,17.710399627685547,0.055296000093221664
14,58642.17210649978,g,17.92609977722168,0.06822799891233444
15,58642.21556709986,R,17.79680061340332,0.05900900065898895
16,58645.19906250015,g,18.214099884033203,0.07171300053596498
17,58648.18474540021,g,18.48189926147461,0.09876199811697006
18,58648.19565969986,R,18.25830078125,0.09754899889230728
19,58651.17475689994,g,18.96739959716797,0.17851899564266205
20,58651.23608799977,R,18.26499938964844,0.06984200328588486
21,58654.181354199995,R,18.28190040588379,0.06784500181674957
22,58654.26451390004,g,19.33889961242676,0.18907399475574493
23,58658.18408560008,R,18.378000259399414,0.059539999812841415
24,58658.194641199894,g,19.479700088500977,0.12192299962043762
25,58661.20075230022,R,18.4862003326416,0.06877899914979935
26,58661.22396990005,g,19.830799102783203,0.1816830039024353
27,58667.20694439997,g,20.330400466918945,0.2682479918003082
28,58667.22317129978,R,19.051300048828125,0.09700900316238403
29,58670.18608799996,R,19.33830070495605,0.15281100571155548
31,58673.18686340004,g,20.377599716186523,0.3680869936943054
32,58673.202638899915,R,19.319799423217773,0.12633299827575686
34,58676.199687500026,R,19.452699661254886,0.1848279982805252
36,58679.20061339997,R,19.59488868713379,0.21653661131858826
