,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58619.23675929987,g,19.66670036315918,0.3152489960193634
8,58628.201006900046,g,18.871999740600586,0.08218400180339812
9,58628.3069329001,R,18.978500366210934,0.12075400352478027
10,58633.17504630005,R,18.926700592041016,0.08383999764919281
11,58633.23577550008,g,18.934600830078125,0.07966499775648117
12,58636.24143519998,g,19.072200775146484,0.08303699642419815
13,58639.184652800206,R,19.01930046081543,0.09757599979639052
14,58639.22071760008,g,19.1117000579834,0.09879600256681442
15,58642.17302080012,g,19.119800567626953,0.12200699746608736
16,58642.22010419984,R,18.9950008392334,0.07799799740314484
17,58645.20783559977,g,19.135900497436523,0.14091800153255465
19,58648.204502299894,R,19.061899185180664,0.1483830064535141
22,58654.19768519978,R,19.106599807739254,0.09502899646759032
23,58654.26634259988,g,19.568899154663086,0.220647007226944
25,58658.19829860004,g,19.70560073852539,0.130854994058609
26,58661.2021296001,R,19.13920021057129,0.12650200724601746
27,58661.22306710017,g,19.74049949645996,0.16890400648117065
28,58667.2042129999,g,19.79319953918457,0.15840600430965426
29,58667.224074100144,R,19.15019989013672,0.09201700240373613
30,58670.185161999885,R,19.176700592041016,0.16113600134849548
31,58670.2021643999,g,20.012699127197266,0.2969579994678497
32,58673.183657399844,g,20.16080093383789,0.25124299526214605
33,58673.203541699804,R,19.094900131225586,0.1077919974923134
35,58676.198796300225,R,19.20490074157715,0.1495870053768158
37,58679.21746530012,R,19.08052062988281,0.13791674375534058
