,ant_mjd,ant_passband,ant_mag,ant_magerr
10,58647.216828700155,g,19.91670036315918,0.24781100451946256
11,58647.273148099885,R,19.733699798583984,0.1828249990940094
12,58650.27265049982,R,19.048200607299805,0.14590799808502194
13,58653.20769680013,R,18.642799377441406,0.0941530019044876
14,58653.29412040021,g,18.60280036926269,0.1052289977669716
15,58669.3170138998,R,18.8484001159668,0.09845200181007384
16,58672.211620400194,R,18.967100143432614,0.10691799968481064
17,58672.30174770019,g,19.38789939880371,0.13353799283504486
18,58675.24388890015,R,19.26020050048828,0.14525100588798526
19,58675.319363399874,g,19.605899810791016,0.17277799546718595
20,58678.22839119983,R,19.15660095214844,0.16333900392055511
23,58681.2691434999,R,19.1067008972168,0.10197799652814864
24,58684.1714931,R,19.425899505615234,0.204586997628212
25,58684.190856500056,g,20.592300415039066,0.1891160011291504
26,58691.20833329996,R,19.5788631439209,0.16627833247184753
