,ant_mjd,ant_passband,ant_mag,ant_magerr
2,58651.47600689996,g,18.11199951171875,0.12398199737071992
3,58655.440925899886,R,18.058000564575195,0.07274699956178665
4,58660.45818290021,g,17.9822998046875,0.039372000843286514
5,58666.42206020001,R,18.0664005279541,0.0469370000064373
6,58669.43774309987,R,18.05270004272461,0.043598998337984085
7,58669.46016199981,g,18.208200454711914,0.05855200067162514
8,58672.42596059991,g,18.294300079345703,0.06304900348186493
9,58672.46210649982,R,18.029800415039066,0.05100899934768677
10,58675.445462999865,g,18.36540031433105,0.06870999932289124
11,58675.482199099846,R,18.02910041809082,0.044185999780893326
12,58678.47949070018,R,18.11319923400879,0.05684600025415421
13,58681.434722200036,R,18.103900909423828,0.07444699853658676
14,58688.4108564998,R,18.18409919738769,0.05907699838280678
15,58688.44160880009,g,18.6653995513916,0.08461800217628479
16,58691.419027800206,R,18.16659927368164,0.05250699818134308
17,58694.38429399999,R,18.195600509643555,0.061101000756025314
18,58695.432731499895,g,18.752500534057614,0.0851759985089302
19,58697.418449100114,R,18.25119972229004,0.04802799969911575
21,58703.46015049982,g,18.803800582885746,0.07014299929141997
22,58707.46326390003,R,18.21969985961914,0.06425900012254715
23,58710.38136570017,R,18.29730033874512,0.07718200236558914
24,58710.46287039992,g,18.759700775146484,0.179966002702713
25,58715.37738429987,R,18.302099227905273,0.08392199873924255
26,58715.50399310003,g,18.644399642944336,0.15119199454784393
27,58718.371574100114,R,18.248699188232425,0.10067299753427504
28,58718.39834489999,g,19.080299377441406,0.10952399671077727
29,58719.43671299982,R,18.24659919738769,0.05666099861264229
31,58724.400844899945,R,18.29850006103516,0.05516500025987625
32,58724.4214931,g,19.06739997863769,0.09273400157690047
33,58727.37731479992,g,19.01409912109375,0.0851759985089302
34,58730.331701400224,g,19.11709976196289,0.1064009964466095
35,58730.37708330015,R,18.370399475097656,0.0675399973988533
36,58733.37106479983,g,19.156700134277344,0.09924200177192688
37,58737.33300929982,R,18.492900848388672,0.098362997174263
38,58737.45951389987,g,19.301799774169922,0.14589299261569974
39,58743.33765049977,R,18.598800659179688,0.10182999819517136
40,58743.380046300124,g,19.230199813842773,0.2842530012130737
41,58746.37958330009,g,19.720199584960934,0.22010500729084012
42,58748.36232639988,R,18.84650039672852,0.08392299711704254
43,58749.284606500056,R,18.850799560546875,0.08114299923181534
44,58749.317268500105,g,19.92970085144043,0.23145300149917605
45,58754.291759300046,g,20.273799896240234,0.3723860085010529
46,58757.2947338,R,19.50859832763672,0.14602778851985931
47,58760.29447920014,R,19.75575828552246,0.1412651389837265
50,58781.24916670006,R,20.073400497436523,0.2506749927997589
52,58785.24991900008,R,20.263500213623047,0.2518639862537384
55,58789.228668999865,R,20.188400268554688,0.3155060112476349
62,58803.23317130003,R,19.902862548828125,0.18759989738464355
