,ant_mjd,ant_passband,ant_mag,ant_magerr
9,58665.451759300195,R,19.518699645996094,0.09929999709129332
10,58668.36789349979,R,18.475400924682614,0.061767999082803726
11,58674.44990740017,g,17.654399871826172,0.06807900220155716
12,58674.476388900075,R,17.315799713134766,0.05048099905252457
13,58677.475590299815,g,17.493200302124027,0.056616000831127174
14,58680.42673610012,R,17.087799072265625,0.0371210016310215
15,58680.47593750013,g,17.591899871826172,0.0731550008058548
16,58683.44447920006,R,17.202400207519528,0.04732799902558327
17,58683.47322920011,g,17.837200164794922,0.06379300355911255
18,58686.40495370002,R,17.410499572753903,0.0625540018081665
19,58686.473865699954,g,18.29490089416504,0.09426199644804
20,58690.4108564998,R,17.585699081420902,0.039521001279354095
21,58690.44886570005,g,18.832000732421875,0.09143000096082687
22,58693.43581019994,g,19.166099548339844,0.09169600158929823
23,58693.46928239986,R,17.763599395751953,0.058603998273611076
24,58696.42579860008,g,19.428300857543945,0.1260250061750412
25,58696.47136570001,R,17.923999786376953,0.05478199943900108
26,58699.383206000086,R,18.205299377441406,0.04988199844956398
27,58699.45123839984,g,19.58309936523437,0.12089499831199645
28,58703.43153940002,R,18.57379913330078,0.06937199831008911
29,58703.471747700125,g,19.83370018005371,0.1738779991865158
30,58706.40907410019,R,18.76650047302246,0.08522900193929672
31,58706.451342599925,g,19.99970054626465,0.1667180061340332
32,58709.486111099824,g,19.917200088500977,0.2340009957551956
35,58715.424328700174,R,19.17300033569336,0.0897350013256073
39,58724.41061339992,R,19.4955997467041,0.1037670001387596
40,58724.42954860022,g,20.4335994720459,0.28383299708366394
41,58727.419536999885,g,20.468799591064453,0.2311609983444214
42,58727.48952550023,R,19.565200805664066,0.1270660012960434
43,58732.46864579991,R,19.82999992370605,0.1668419986963272
44,58735.38451390015,R,19.978900909423828,0.14695200324058533
45,58735.43237269996,g,20.573299407958984,0.2501870095729828
46,58738.386169000056,R,20.110300064086914,0.2584280073642731
50,58745.349895800005,R,20.21419906616211,0.2239760011434555
54,58751.31976850005,R,20.37583541870117,0.2153106927871704
