,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58672.33563659992,g,20.182600021362305,0.17621299624443054
15,58675.334965299815,g,19.368799209594727,0.13168999552726746
16,58678.230937500026,R,18.745100021362305,0.10065200179815292
17,58678.315787000116,g,18.847299575805664,0.13653400540351868
18,58682.27311340022,R,18.478900909423828,0.12800300121307373
19,58688.31422450022,g,18.661699295043945,0.08017800003290176
20,58688.35615740017,R,18.393699645996094,0.08229599893093109
21,58691.313483799815,g,18.6830997467041,0.08850099891424179
22,58691.355937500026,R,18.46629905700684,0.08674900233745575
24,58698.400358799845,R,18.861900329589844,0.08992999792098999
25,58702.33150460013,g,19.447999954223636,0.13098900020122528
26,58705.16825230001,R,19.0531005859375,0.11407800018787385
27,58711.29296300002,R,19.23240089416504,0.1850530058145523
29,58714.342129599776,R,19.327999114990234,0.16888000071048734
30,58717.241215299815,g,20.476900100708008,0.2443380057811737
31,58717.3050694,R,19.356735229492188,0.13432419300079346
33,58720.32533559995,R,19.41917610168457,0.15705056488513947
