,ant_mjd,ant_passband,ant_mag,ant_magerr
8,58672.42548609991,g,19.962499618530273,0.17052599787712094
9,58672.461631900165,R,19.96940040588379,0.11431600153446198
10,58676.46075229999,R,18.80970001220703,0.08087699860334396
11,58679.443680599805,g,18.4375,0.0796239972114563
12,58679.46222219988,R,18.543500900268555,0.07413099706172943
13,58682.40633099992,R,18.33760070800781,0.07039599865674973
14,58686.418298599776,R,18.288799285888672,0.09042099863290788
15,58690.40138889988,R,18.15660095214844,0.05412200093269348
16,58690.453819400165,g,18.283599853515625,0.05953700095415115
17,58693.378865700215,R,18.14640045166016,0.04702899977564812
18,58693.415624999914,g,18.332000732421875,0.06384000182151794
19,58696.37781250012,R,18.26919937133789,0.05154699832201004
22,58702.37966440013,R,18.59670066833496,0.07921600341796875
23,58705.443240699824,R,18.730199813842773,0.0727429986000061
24,58708.44064809987,g,19.83270072937012,0.1902420073747635
25,58708.483935200136,R,18.81679916381836,0.07440199702978134
27,58714.37381940009,R,19.11079978942871,0.139724001288414
29,58717.329745400224,R,19.066999435424805,0.09183800220489502
30,58717.39625000022,g,20.28720092773437,0.25086599588394165
32,58725.37053239998,g,20.680700302124023,0.22432400286197665
34,58730.382083300035,R,19.69230079650879,0.12439800053834915
36,58733.37770830003,R,19.82903861999512,0.15744537115097046
