,ant_mjd,ant_passband,ant_mag,ant_magerr
11,58684.18359949999,R,19.20319938659668,0.10405799746513368
12,58684.20248840004,g,19.09510040283203,0.08484499901533127
13,58691.207395799924,R,18.625,0.08622200042009354
14,58691.22472220008,g,18.523000717163086,0.06943800300359726
15,58694.20687500015,R,18.429800033569336,0.0703509971499443
16,58694.225949100226,g,18.525400161743164,0.06998100131750107
17,58697.17179400008,R,18.54159927368164,0.07848899811506271
18,58697.201759300195,g,18.626300811767575,0.06776399910449983
19,58700.178252299775,R,18.6781005859375,0.089137002825737
20,58705.17915510014,R,18.96030044555664,0.11242400109767914
23,58711.28295140015,R,18.859500885009766,0.14464500546455386
24,58714.15258099978,g,20.185199737548828,0.19817599654197693
27,58724.158414400175,R,19.596843719482425,0.15597300231456754
