,ant_mjd,ant_passband,ant_mag,ant_magerr
0,58681.457500000026,R,18.651599884033203,0.10511499643325806
1,58692.48730320018,R,18.16360092163086,0.055730000138282776
2,58695.442847200204,g,19.112300872802734,0.11337800323963165
3,58695.46481479983,R,18.28529930114746,0.06255199760198593
4,58698.45387730002,g,19.47800064086914,0.13865099847316742
5,58701.46101849992,g,19.750900268554688,0.1854259967803955
6,58701.49935190008,R,18.42849922180176,0.07502199709415436
7,58704.43943289992,g,20.17930030822754,0.2346460074186325
8,58704.48157409997,R,18.69379997253418,0.09555800259113313
9,58707.44100689981,g,20.437000274658203,0.2810499966144562
10,58707.481608800124,R,18.899599075317386,0.08290600031614304
11,58711.424918999895,R,19.094200134277344,0.10752200335264206
16,58718.480428200215,R,19.433900833129886,0.13560500741004944
19,58724.482268500135,R,19.457571029663086,0.15614917874336245
26,58738.39622690016,R,19.65239906311035,0.19526000320911407
33,58748.417905100156,R,20.16990089416504,0.2111420035362244
38,58759.374386600226,R,20.38995933532715,0.2112134695053101
