,ant_mjd,ant_passband,ant_mag,ant_magerr
15,58681.194085599855,g,19.96190071105957,0.2856769859790802
17,58684.17703700018,R,18.95669937133789,0.09690800309181212
19,58684.22937500012,g,18.631000518798828,0.08267100155353546
20,58691.19847219996,R,17.715900421142578,0.05620700120925903
23,58694.2078009001,R,17.58650016784668,0.05398499965667725
24,58694.226875000175,g,17.529199600219727,0.060100998729467385
26,58697.180208299775,R,17.67169952392578,0.049594998359680176
28,58700.177326399826,R,17.78339958190918,0.0654039978981018
31,58705.180081000086,R,17.917200088500977,0.07466399669647218
32,58708.17759260022,g,18.356800079345703,0.0730770006775856
34,58711.2847684999,R,18.105600357055664,0.0817900002002716
35,58714.35042819986,R,18.35110092163086,0.11253900080919266
36,58718.177615699824,g,18.940099716186523,0.09809699654579164
38,58723.18541669985,g,19.12380027770996,0.12083700299263
39,58723.33193290001,R,18.54050064086914,0.10472399741411208
40,58726.151284699794,g,19.31290054321289,0.12237200140953065
45,58734.143657399814,R,18.794300079345703,0.10508699715137483
46,58734.21103010001,g,19.405099868774414,0.2036599963903427
47,58737.13082179987,g,19.427099227905273,0.15205499529838562
49,58737.18546300009,R,18.725500106811523,0.11002899706363678
50,58740.12497689994,g,19.750999450683594,0.25855699181556696
52,58740.26443290013,R,18.967199325561523,0.2199620008468628
54,58743.14115739986,g,19.681100845336914,0.17905299365520475
55,58747.141863400124,g,19.7632999420166,0.1546490043401718
56,58750.140173600055,g,19.866600036621094,0.21608200669288635
57,58758.14363430021,g,20.33060073852539,0.2972699999809265
58,58761.12046300016,R,19.409908294677734,0.17623768746852875
