,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58688.40393520008,R,19.272199630737305,0.10165899991989136
15,58688.44733799994,g,19.32150077819824,0.13045799732208252
16,58691.40325229988,R,18.87989997863769,0.07335499674081802
17,58691.4495139001,g,19.026599884033203,0.09841500222682953
18,58694.40621529985,R,18.793100357055664,0.07322999835014342
19,58694.447418999865,g,18.826900482177734,0.0706150010228157
20,58697.40807869983,R,18.7549991607666,0.06598900258541107
21,58697.47299769986,g,18.907100677490234,0.09102699905633926
22,58700.448425900184,R,18.818599700927734,0.07371199876070023
23,58700.47255790001,g,19.0580997467041,0.0788939967751503
24,58703.43107639997,R,19.064699172973636,0.08040499687194824
25,58703.4675925998,g,19.393400192260746,0.10116200149059296
26,58706.40859950008,R,19.2273006439209,0.07964300364255905
27,58706.448969900135,g,19.682899475097656,0.12770299613475802
28,58709.476296300076,g,19.93910026550293,0.2419620007276535
29,58712.42944440013,R,19.374399185180664,0.1401059925556183
31,58715.37254629983,R,19.52359962463379,0.15390999615192413
33,58718.47405089997,R,19.64109992980957,0.14390400052070618
35,58724.405520800035,R,19.965778350830078,0.15098121762275696
