,ant_mjd,ant_passband,ant_mag,ant_magerr
12,58690.39954859996,R,19.829700469970703,0.1400430053472519
13,58690.45427080012,g,19.905399322509766,0.14945299923419952
14,58693.39243059978,R,19.24810028076172,0.08560100197792052
15,58693.417060200125,g,19.541500091552734,0.10670600086450577
16,58695.43543979991,g,19.47570037841797,0.10675200074911118
17,58696.377361100174,R,18.966999053955078,0.08482500165700912
18,58696.40137729981,g,19.35610008239746,0.09396599978208542
20,58702.380115699954,R,18.797800064086914,0.09929999709129332
21,58705.445115699906,R,18.932199478149414,0.07208000123500824
22,58708.41918980004,g,19.822399139404297,0.24497899413108826
23,58708.50275459979,R,19.121700286865234,0.09322399646043776
26,58717.33246529987,R,19.665706634521484,0.1547265201807022
