,ant_mjd,ant_passband,ant_mag,ant_magerr
12,58691.17005789978,R,18.280399322509766,0.06874000281095505
13,58691.2228472,g,18.065000534057614,0.054815001785755164
14,58694.225497699816,g,18.533000946044922,0.08282399922609329
15,58697.17224540003,R,18.83839988708496,0.07146099954843521
16,58697.20129630017,g,19.055400848388672,0.10014499723911284
17,58700.178703700185,R,19.003700256347656,0.08726099878549576
18,58705.161990699824,R,18.87929916381836,0.10146400332450868
19,58708.156863399774,g,19.09469985961914,0.13420000672340393
20,58711.15349540021,g,19.090999603271484,0.1281210035085678
21,58711.27690970013,R,18.83449935913086,0.17114199697971344
22,58714.15211809985,g,19.094200134277344,0.10399600118398666
23,58718.178588000126,g,19.482999801635746,0.1460539996623993
25,58724.15795140015,R,19.32010078430176,0.12459199875593185
26,58724.174733799875,g,20.008699417114254,0.14149999618530273
29,58737.17567129992,R,19.634700775146484,0.2314250022172928
32,58745.135115699835,g,20.613800048828125,0.2862490117549896
33,58749.114965300076,R,19.68816566467285,0.17094911634922028
