,ant_mjd,ant_passband,ant_mag,ant_magerr
28,58688.204560200225,g,20.684799194335934,0.2277829945087433
29,58688.20503470022,g,20.845600128173828,0.291379988193512
30,58691.172361100085,R,19.172399520874023,0.11051499843597412
31,58691.20692129992,R,19.138900756835934,0.07696299999952316
32,58691.21581020019,g,19.17250061035156,0.16767500340938568
33,58691.21678239992,g,18.993200302124023,0.09707500040531157
34,58694.222731499925,g,18.048999786376953,0.0796160027384758
35,58694.223194399856,g,18.06049919128418,0.0593319982290268
36,58697.17362269992,R,17.67799949645996,0.06811100244522095
37,58697.174097199924,R,17.70039939880371,0.06914400309324265
38,58697.197615699835,g,17.500900268554688,0.0630199983716011
39,58697.1999189998,g,17.495000839233402,0.04464999958872795
40,58700.180081000086,R,17.407400131225586,0.061838001012802124
41,58700.180555600215,R,17.454500198364258,0.07210700213909149
42,58705.15600690013,R,17.252300262451172,0.06250099837779999
43,58705.1805786998,R,17.240999221801758,0.06151600182056428
44,58708.16060189996,g,17.1343994140625,0.0712599977850914
45,58708.17855319986,g,17.150299072265625,0.058968000113964074
46,58711.24209489999,g,17.264999389648438,0.0659710019826889
47,58711.28157409978,R,17.33839988708496,0.06044600158929825
48,58711.282500000205,R,17.399599075317386,0.0647599995136261
49,58714.15917820018,g,17.428300857543945,0.045869998633861535
50,58714.22247690009,g,17.436899185180664,0.05808199942111969
51,58718.16284719994,g,17.706199645996094,0.05701800063252449
52,58718.17903940008,g,17.733999252319336,0.058253999799489975
53,58721.15776620014,g,17.8976993560791,0.14630800485610962
55,58724.15381939989,R,18.093799591064453,0.07209199666976929
56,58724.156134299934,R,18.08639907836914,0.07054000347852707
57,58724.17519679992,g,18.220600128173828,0.0860930010676384
58,58724.265173600055,g,18.22909927368164,0.06888599693775177
59,58727.144282400135,R,18.136600494384766,0.07919999957084656
60,58727.154351899866,g,18.502399444580078,0.08359900116920471
61,58731.13097220008,R,18.16390037536621,0.08921899646520615
63,58732.131169000175,g,18.88820075988769,0.1196419969201088
64,58732.218495400164,R,18.183900833129886,0.0744049996137619
65,58734.140428199906,R,18.273700714111328,0.07941000163555145
66,58734.16481480002,g,18.982999801635746,0.1307460069656372
67,58735.13313659978,g,19.104400634765625,0.1592089980840683
68,58735.2369328998,R,18.24250030517578,0.0947989970445633
69,58737.16576390015,g,19.291799545288086,0.21449199318885806
70,58737.18314810004,R,18.29949951171875,0.10835500061511992
71,58738.13689809991,g,19.28580093383789,0.1873530000448227
72,58741.13394680014,g,19.3705997467041,0.1771160066127777
75,58744.12495370022,R,18.70369911193848,0.0971679985523224
76,58744.13797450018,g,19.61359977722168,0.14877399802207947
77,58745.13557869988,g,19.815799713134766,0.15990500152111053
78,58749.11587959993,R,19.00040054321289,0.11871600151062013
79,58749.11634259997,R,19.047399520874023,0.13837699592113495
80,58749.13384260005,g,19.850500106811523,0.2175849974155426
81,58758.13211809984,g,19.93409919738769,0.2396479994058609
82,58758.13304399978,g,20.087799072265625,0.26526701450347895
83,58761.11635420006,R,19.4237003326416,0.1647219955921173
84,58761.11728010001,R,19.40049934387207,0.1720619946718216
85,58765.11714120022,R,19.606599807739254,0.21102599799633026
86,58765.117615699775,R,19.388561248779297,0.18420712649822235
88,58768.121157399844,R,19.622699737548828,0.22909000515937805
92,58775.09527780023,R,19.857765197753906,0.21244044601917267
