,ant_mjd,ant_passband,ant_mag,ant_magerr
7,58693.425312499974,g,20.470800399780273,0.3254599869251251
9,58695.44013890019,g,19.531700134277344,0.1366029977798462
10,58695.47982640006,R,19.897899627685547,0.14445799589157104
11,58696.433344900135,g,19.32830047607422,0.16931100189685822
13,58698.455231499865,g,18.922700881958008,0.08140300214290619
14,58699.457349500146,g,18.845800399780273,0.1190659999847412
15,58699.50056710001,R,18.991199493408203,0.0826139971613884
16,58701.459664400194,g,18.605499267578125,0.09000100195407867
17,58704.41793979983,g,18.431400299072266,0.10977199673652648
18,58704.41840279987,g,18.39929962158203,0.07626699656248093
19,58704.45999999996,R,18.587099075317386,0.06661500036716461
20,58704.4797685002,R,18.697099685668945,0.0916069969534874
21,58707.41603010008,g,18.41320037841797,0.07605800032615663
22,58707.41649310011,g,18.386199951171875,0.0885469987988472
23,58707.500949100126,R,18.66220092773437,0.07596900314092636
24,58707.50140050008,R,18.521699905395508,0.09119799733161926
25,58710.417638900224,R,18.59280014038086,0.1021139994263649
26,58711.41950230022,R,18.753700256347656,0.09862899780273438
27,58715.41773150022,R,18.79159927368164,0.14124299585819244
28,58715.50172450022,g,18.67329978942871,0.1595429927110672
30,58718.41724540014,g,18.948299407958984,0.1500129997730255
31,58718.46069440013,R,18.886199951171875,0.1034960001707077
32,58719.4598495001,R,19.018999099731445,0.10512399673461914
33,58719.48211809992,g,19.08099937438965,0.13162299990653992
35,58723.39271989978,R,19.17690086364746,0.09382300078868866
36,58723.41756939981,g,19.37569999694824,0.11708399653434752
37,58725.41782409978,g,19.6117000579834,0.14636200666427612
38,58725.48186339997,R,19.231599807739254,0.12546099722385404
39,58726.377106499865,R,19.152591705322266,0.09874511510133743
