,ant_mjd,ant_passband,ant_mag,ant_magerr
14,58705.15695599979,R,19.037900924682614,0.11188700050115584
15,58708.159606500056,g,18.279300689697266,0.07998699694871902
16,58712.24153940008,R,18.313100814819336,0.0950089991092682
17,58715.159814800136,g,18.218799591064453,0.08144299685955048
18,58718.16050929995,g,18.32939910888672,0.07933700084686279
19,58723.157627299894,g,18.408700942993164,0.09418000280857086
20,58726.15834489978,g,18.510700225830078,0.10159700363874437
21,58734.12924769986,R,18.47439956665039,0.08537200093269348
22,58734.17554400022,g,18.84160041809082,0.11531700193881987
23,58737.17932870006,R,18.38909912109375,0.09501100331544876
24,58749.12043979997,R,18.56629943847656,0.07684800028800964
25,58749.136585600216,g,19.1968994140625,0.14610600471496582
27,58761.11217590003,R,18.8579158782959,0.13498546183109286
