,ant_mjd,ant_passband,ant_mag,ant_magerr
45,58706.21579860012,R,20.199899673461914,0.22307699918746948
52,58709.21387729981,R,19.87299919128418,0.2546910047531128
53,58709.243969900075,g,19.39520072937012,0.22113999724388125
56,58713.232453700155,R,18.777000427246094,0.1625629961490631
57,58714.233761600226,g,18.95400047302246,0.10081200301647186
58,58714.358136599876,R,18.85300064086914,0.09921000152826308
59,58716.26082180021,g,18.699899673461914,0.10793399810791016
60,58716.37060189992,R,18.74449920654297,0.11246900260448456
61,58717.2430786998,g,18.71380043029785,0.09635599702596664
62,58717.308321800076,R,18.742599487304688,0.08451899886131288
63,58719.31568290014,R,18.678600311279297,0.14487600326538086
64,58720.26356479991,g,18.64900016784668,0.09583000093698503
65,58720.33350689989,R,18.662799835205078,0.0642080008983612
66,58722.30744209979,R,18.65519905090332,0.09415599703788756
67,58723.261469900135,g,18.769100189208984,0.08337700366973877
68,58725.19028940005,g,18.743600845336914,0.1013529971241951
69,58726.24409720022,g,18.875999450683594,0.1071150004863739
70,58730.15045139985,R,18.86370086669922,0.11788000166416167
71,58730.1509027998,R,18.839099884033203,0.09477099776268004
73,58733.23130790005,R,19.04290008544922,0.11277899891138075
74,58733.232210599825,R,19.107999801635746,0.1013609990477562
75,58733.30096059991,g,19.32200050354004,0.14629800617694855
76,58733.301411999855,g,19.376399993896484,0.15448400378227234
80,58743.1261574002,g,20.334800720214844,0.3252240121364593
81,58745.205486100174,g,20.396900177001953,0.2514140009880066
82,58745.33743060008,R,19.519500732421875,0.178290992975235
84,58749.26841440005,R,19.6430778503418,0.14328747987747192
85,58750.26127310004,R,19.49407386779785,0.13970696926116946
