,ant_mjd,ant_passband,ant_mag,ant_magerr
13,58709.399247699876,R,19.979999542236328,0.2398509979248047
15,58712.43981479992,R,19.078500747680664,0.15175999701023102
16,58718.43947920018,g,18.450300216674805,0.04835199937224388
17,58718.46265049977,R,18.61199951171875,0.10398700088262558
20,58727.48155089981,R,18.335899353027344,0.05198799818754196
21,58730.419976899866,R,18.509700775146484,0.04617499932646752
22,58733.40555559984,R,18.711200714111328,0.046994999051094055
23,58736.47885419987,g,19.18819999694824,0.0564740002155304
24,58739.39960649982,R,19.017000198364254,0.11526499688625336
25,58739.483402799815,g,19.357799530029297,0.24383099377155304
26,58745.39918980002,R,19.228900909423828,0.1706099957227707
29,58748.33425930003,R,19.03339958190918,0.07186699658632277
31,58751.40013890015,g,20.32990074157715,0.12341400235891342
32,58756.393159700085,R,19.4089298248291,0.12131673842668532
33,58756.41570599983,g,20.557144165039066,0.20057566463947296
34,58759.37483800016,R,19.510787963867188,0.1359845995903015
