,ant_mjd,ant_passband,ant_mag,ant_magerr
48,58714.177199100144,R,19.15970039367676,0.11610300093889235
49,58714.202685200136,g,19.018699645996094,0.09461600333452223
50,58715.261388900224,R,19.069599151611328,0.10750500112771988
51,58715.28792819986,g,18.98430061340332,0.09048499912023544
52,58716.28251159983,R,18.981300354003906,0.0778139978647232
53,58716.308344900135,g,18.97439956665039,0.1052900031208992
54,58717.26130789983,R,18.94499969482422,0.08710700273513794
55,58717.28827549982,g,19.002500534057614,0.0983550027012825
56,58718.28300930001,R,18.89229965209961,0.09948799759149553
57,58718.3092013998,g,18.93099975585937,0.09082400053739548
58,58719.261967599865,R,18.85420036315918,0.07874400168657303
59,58719.288865699906,g,18.959699630737305,0.0928959995508194
60,58720.28276620014,R,18.905399322509766,0.07927200198173523
61,58720.308229200076,g,19.023500442504886,0.08262600004673004
62,58721.26189809991,R,18.931900024414066,0.08780799806118011
64,58722.261793999925,R,18.90839958190918,0.10204199701547624
65,58722.28776620002,g,19.039600372314453,0.11052999645471573
66,58723.286296300124,R,18.97459983825684,0.0715320035815239
67,58723.31028940016,g,19.12689971923828,0.08467599749565125
68,58724.28635419997,R,18.952800750732425,0.0958470031619072
69,58724.310324099846,g,19.054100036621094,0.08058600127696991
70,58725.26028939989,R,19.001100540161133,0.09314200282096864
71,58725.286527799915,g,19.146299362182614,0.09061499685049056
72,58726.26174770017,R,18.97369956970215,0.08290799707174301
73,58726.28791669988,g,19.09950065612793,0.11221300065517427
74,58727.2865046002,R,18.948299407958984,0.08417599648237227
75,58727.3098726999,g,19.12529945373535,0.0906910002231598
76,58730.261990699924,R,19.04840087890625,0.1083889976143837
78,58732.26063660019,R,19.012699127197266,0.09817100316286087
79,58732.28489580005,g,19.270299911499023,0.08460500091314316
80,58733.26023150002,R,18.964799880981445,0.08971499651670456
81,58733.28421299997,g,19.39739990234375,0.1246120035648346
82,58734.26194440015,R,18.948299407958984,0.08490999788045883
83,58734.285463000175,g,19.339000701904297,0.15149599313735962
84,58735.26063660019,R,18.985200881958008,0.10151100158691406
85,58735.28403940005,g,19.381799697875977,0.13957899808883667
86,58736.27033559977,R,19.03470039367676,0.10541599988937378
87,58736.29363430013,g,19.374799728393555,0.20460499823093412
88,58737.28495369991,R,19.021499633789066,0.12156900018453598
89,58737.30652779992,g,19.281200408935547,0.20012499392032626
92,58745.339236100204,R,19.18709945678711,0.1575630009174347
93,58749.26269679982,R,19.15049934387207,0.10922800004482268
94,58754.14247690002,R,19.204200744628906,0.09928900003433228
95,58754.25930560008,g,19.91200065612793,0.1462790071964264
96,58757.20650460013,g,19.888500213623047,0.16275599598884585
97,58760.26578699984,R,19.097900390625,0.11862999945878985
98,58763.12907409994,g,20.08699989318848,0.19654500484466556
99,58763.25466440013,R,19.354400634765625,0.13092699646949768
100,58766.12378469994,R,19.270299911499023,0.15520699322223666
101,58766.19584489986,g,20.261499404907227,0.3699040114879608
102,58769.111817100085,R,19.409500122070312,0.16007499396800995
105,58775.100590299815,R,19.453800201416016,0.1409119963645935
107,58779.094803200096,R,19.480487823486328,0.1634206622838974
109,58782.223125000026,g,20.440399169921875,0.29550701379776
110,58785.097731499925,R,19.572599411010746,0.15802299976348874
112,58790.132326399915,R,19.736099243164066,0.2119159996509552
113,58791.0864467998,R,19.569232940673828,0.14157497882843018
