,ant_mjd,ant_passband,ant_mag,ant_magerr
4,58715.163611100055,g,20.732799530029297,0.22208499908447266
6,58724.17567129992,g,18.92790031433105,0.07629399746656418
7,58727.1415161998,R,18.82509994506836,0.0844229981303215
9,58734.138101900004,R,18.609899520874023,0.07936900109052658
10,58734.22068289992,g,19.116199493408203,0.16799800097942352
11,58737.13797450018,g,19.172399520874023,0.1283160001039505
12,58737.182222200085,R,18.48150062561035,0.1014610007405281
13,58740.260810200125,R,18.703100204467773,0.1484919935464859
14,58744.13986109988,g,19.502199172973636,0.13220000267028809
15,58747.139097199775,g,19.82710075378418,0.13584400713443756
16,58750.14432869991,g,20.114999771118164,0.1966650038957596
17,58758.13627310004,g,20.43370056152344,0.24583800137043
18,58761.11543980008,R,19.556299209594727,0.15808799862861633
21,58769.093078699894,R,19.61829948425293,0.24845099449157715
24,58775.099930599805,R,19.7876091003418,0.20183812081813807
