,ant_mjd,ant_passband,ant_mag,ant_magerr
0,58716.49127310003,R,18.29170036315918,0.07201399654150009
1,58723.48577550008,g,18.62470054626465,0.08641599863767624
2,58723.50767360022,R,18.280500411987305,0.05872400104999542
3,58726.48565969988,g,18.796199798583984,0.10296899825334548
4,58726.508425899774,R,18.266000747680664,0.06729000061750412
5,58732.447476900175,g,19.03529930114746,0.1125359982252121
6,58732.50923610013,R,18.28820037841797,0.0589979998767376
7,58735.471493099816,g,19.09480094909668,0.1000789999961853
8,58735.51422449992,R,18.350400924682614,0.05291000008583069
10,58741.4677546001,R,18.41390037536621,0.09226100146770476
12,58744.471863400184,R,18.511499404907227,0.12256000190973282
13,58744.50530089997,g,19.31629943847656,0.17009100317955014
14,58747.46506940015,R,18.45669937133789,0.07287000119686128
15,58747.50856480002,g,19.593299865722656,0.13734599947929382
16,58750.44773150002,g,19.660200119018555,0.2405350059270859
17,58750.50930560008,R,18.46809959411621,0.07046899944543839
19,58756.5123263998,R,18.601600646972656,0.06963899731636047
20,58759.46608800023,g,19.72450065612793,0.11671300232410432
21,58759.51275460003,R,18.553300857543945,0.05290300026535988
22,58763.44269679999,g,19.722900390625,0.13592499494552612
23,58763.51523149992,R,18.631500244140625,0.0701880007982254
24,58766.469444400165,g,19.743000030517575,0.13800500333309176
25,58766.53531249985,R,18.69849967956543,0.08455699682235718
26,58769.45113429987,R,18.70560073852539,0.1164420023560524
29,58772.53644679999,R,18.66519927978516,0.11246400326490402
31,58778.49302079994,R,18.746299743652344,0.12768800556659698
32,58778.51004630001,g,19.707799911499023,0.15036100149154666
33,58781.5087731001,R,18.88640022277832,0.1423729956150055
35,58784.51327549992,R,18.96529960632324,0.1912599951028824
37,58787.51149309985,R,18.754499435424805,0.1219410002231598
38,58790.48954859981,R,18.874900817871094,0.0778300017118454
40,58793.514641200185,R,18.922800064086914,0.1179559975862503
41,58793.52942130017,g,20.258399963378906,0.21000699698925016
43,58796.434479199816,R,18.88809967041016,0.1135689988732338
44,58799.331157399814,R,18.987699508666992,0.11827000230550765
45,58799.47728009988,R,18.99430084228516,0.13779500126838684
46,58805.381203699864,R,19.09645271301269,0.2014150470495224
