,ant_mjd,ant_passband,ant_mag,ant_magerr
0,58716.49127310003,R,18.73200035095215,0.09482400119304656
1,58723.48577550008,g,18.481000900268555,0.0594630017876625
2,58723.50767360022,R,18.468900680541992,0.058786001056432724
3,58726.48565969988,g,18.477399826049805,0.06502600014209747
4,58726.508425899774,R,18.417299270629886,0.07095400243997574
5,58732.447476900175,g,18.623300552368164,0.06799499690532684
6,58732.50923610013,R,18.407400131225586,0.06642600148916245
7,58735.471493099816,g,18.604299545288086,0.06906799972057343
8,58735.51422449992,R,18.37569999694824,0.08011899888515472
9,58738.44561340008,g,18.595699310302734,0.13163399696350098
10,58741.4677546001,R,18.313600540161133,0.0931129977107048
11,58741.51023150002,g,18.74659919738769,0.21979400515556333
12,58744.471863400184,R,18.434499740600586,0.11330500245094301
13,58744.50530089997,g,18.826000213623047,0.10812299698591232
14,58747.46506940015,R,18.339399337768555,0.06488099694252014
15,58747.50856480002,g,18.91220092773437,0.09283600002527237
16,58750.44773150002,g,19.007400512695312,0.09601099789142607
17,58750.50930560008,R,18.442800521850586,0.09230100363492966
18,58756.45127309999,g,19.00169944763184,0.081277996301651
19,58756.5123263998,R,18.40239906311035,0.06543099880218506
20,58759.46608800023,g,19.06570053100586,0.08759000152349472
21,58759.51275460003,R,18.40239906311035,0.06430599838495255
22,58763.44269679999,g,19.03529930114746,0.07761400192975998
23,58763.51523149992,R,18.416900634765625,0.05580899864435196
24,58766.469444400165,g,19.076099395751953,0.07491099834442139
25,58766.53531249985,R,18.398000717163086,0.07966099679470062
26,58769.45113429987,R,18.452600479125977,0.09718599915504456
27,58769.51538190013,g,19.162900924682614,0.1231520026922226
29,58772.53644679999,R,18.444299697875977,0.07812900096178055
30,58775.428958300035,g,19.13599967956543,0.11131300032138823
31,58778.49302079994,R,18.473899841308594,0.08986800163984299
32,58778.51004630001,g,19.347400665283203,0.127019003033638
33,58784.46629629983,g,19.351600646972656,0.13201500475406647
34,58784.51327549992,R,18.47570037841797,0.12192799896001814
35,58787.42321760021,g,19.387500762939453,0.13833799958229065
36,58787.51149309985,R,18.50079917907715,0.09995800256729126
37,58790.48954859981,R,18.51320075988769,0.08301600068807602
38,58790.53696760022,g,19.3075008392334,0.1042950004339218
39,58793.514641200185,R,18.49970054626465,0.06849200278520584
40,58793.52942130017,g,19.43829917907715,0.0915519967675209
42,58796.434479199816,R,18.45989990234375,0.0751739963889122
43,58799.331157399814,R,18.50749969482422,0.08649499714374542
44,58799.47728009988,R,18.61240005493164,0.09099400043487547
46,58805.381203699864,R,18.670299530029297,0.11799900233745575
47,58805.49292819993,g,19.427099227905273,0.14861999452114105
48,58806.508101900115,R,18.64249992370605,0.09152600169181824
49,58811.432430599816,g,19.603700637817386,0.12269499897956848
52,58827.27685189992,R,18.93939971923828,0.12156400084495544
53,58828.2446527998,R,19.07699966430664,0.23622100055217746
55,58830.220127299894,g,19.53420066833496,0.2514429986476898
56,58830.3041782002,R,18.854299545288086,0.12269700318574905
57,58833.3069329001,R,18.86599922180176,0.2471259981393814
58,58833.381377299775,R,19.05229949951172,0.11429499834775925
60,58836.49537040014,R,19.04212188720703,0.11821560561656952
