,ant_mjd,ant_passband,ant_mag,ant_magerr
16,58720.40256940015,g,18.93610000610352,0.07320199906826019
17,58723.37325230008,R,18.912399291992188,0.06571800261735916
18,58723.402210600216,g,18.88249969482422,0.06314200162887572
19,58726.30543980002,R,18.810699462890625,0.06207700073719025
20,58726.40057870001,g,18.88400077819824,0.06895200163125992
21,58730.3292824002,g,18.854299545288086,0.1340699940919876
22,58730.386678200215,R,18.780099868774414,0.06515999883413315
23,58733.37914349978,R,18.858999252319336,0.053780999034643166
24,58736.42028940003,R,18.71820068359375,0.060545001178979874
25,58736.455405099776,g,18.906299591064453,0.08975700289011003
26,58738.170335600145,R,18.9591007232666,0.1577260047197342
27,58738.20309029985,g,18.82740020751953,0.1751299947500229
28,58739.16923609981,R,18.84510040283203,0.16743700206279755
29,58739.202152799815,g,18.938400268554688,0.20171399414539334
30,58740.16966440016,R,18.75200080871582,0.16977599263191226
31,58740.20193290013,g,19.03380012512207,0.2265260070562363
32,58741.16982640001,R,18.673999786376953,0.12654800713062286
33,58741.198796300225,g,18.9237003326416,0.16332200169563293
35,58743.170891200185,R,18.64940071105957,0.08447600156068802
36,58743.1994097,g,19.06209945678711,0.10446400195360184
37,58744.16990739992,R,18.730100631713867,0.0585010014474392
38,58744.198425900184,g,19.06220054626465,0.1005999967455864
39,58745.17001160002,R,18.81319999694824,0.06421499699354173
40,58745.19856479997,g,19.15660095214844,0.09710799902677536
41,58746.194502300124,R,18.859600067138672,0.06785900145769119
42,58747.16991900001,R,18.79840087890625,0.06971900165081024
43,58747.19850690012,g,19.20319938659668,0.08609200268983841
44,58748.16903939982,R,18.758699417114254,0.07448499649763107
45,58748.197384300176,g,19.252899169921875,0.09304799884557724
46,58749.17055559997,R,18.801700592041016,0.06437800079584123
47,58749.19920139993,g,19.30389976501465,0.09546700119972228
48,58750.17084489996,R,18.7106990814209,0.07993800193071365
49,58750.199537000146,g,19.32620048522949,0.13138000667095184
50,58751.16849539987,R,18.78860092163086,0.06028499826788902
51,58751.19716440002,g,19.4064998626709,0.09910299628973007
52,58754.16814809991,R,18.82069969177246,0.05815500020980835
53,58754.196932900224,g,19.528600692749023,0.14055199921131134
54,58758.177280100055,R,18.861799240112305,0.06131400167942048
55,58759.213067099925,R,18.917299270629886,0.059721000492572784
56,58760.16972219991,R,18.91819953918457,0.06704399734735489
57,58760.198310200125,g,19.572599411010746,0.11128699779510498
58,58761.1687384001,R,18.87689971923828,0.06596300005912781
59,58761.19736109999,g,19.66519927978516,0.1891240030527115
60,58762.168472200174,R,18.913700103759766,0.06469999998807907
61,58762.19657409983,g,19.62019920349121,0.14680400490760806
62,58763.16978010022,R,18.977500915527344,0.07750000059604645
63,58763.198009300046,g,19.52389907836914,0.15973499417304993
64,58764.36263890006,g,19.80159950256348,0.1534540057182312
65,58764.404722199775,R,18.96380043029785,0.11119499802589417
67,58771.264583299875,R,18.91990089416504,0.14887399971485138
68,58774.19699069997,R,19.048999786376953,0.0842830017209053
70,58777.20487269992,R,19.035999298095703,0.07223600149154663
71,58781.235370399896,R,19.03919982910156,0.10589700192213057
72,58785.2218865999,g,20.047199249267575,0.1593479961156845
73,58785.2412963002,R,19.03610038757324,0.06785999983549118
74,58788.21528939996,R,19.111799240112305,0.09220799803733826
75,58790.15531249996,R,19.104400634765625,0.09720499813556673
76,58791.11008099979,R,19.05660057067871,0.0901629999279976
77,58791.19554399978,g,19.98349952697754,0.18622100353240967
78,58791.2775347,g,20.1338005065918,0.1951729953289032
79,58792.20686340006,g,20.22610092163086,0.2829430103302002
80,58794.12042819987,R,19.165000915527344,0.13074199855327606
81,58794.195185199846,g,20.18939971923828,0.26029500365257263
83,58797.11151620001,R,19.07309913635254,0.1219720020890236
87,58799.215983800124,R,18.927000045776367,0.15201599895954132
90,58800.2621065001,R,19.209800720214844,0.1383650004863739
92,58803.23769679992,R,19.26729965209961,0.12552699446678162
93,58806.18128470006,g,20.43630027770996,0.26463600993156433
94,58806.22427080013,R,19.26420021057129,0.11821500211954115
95,58811.142060200225,R,19.358800888061523,0.10136500000953674
100,58819.13482639985,R,19.148399353027344,0.24656599760055545
102,58831.08843749993,R,19.84210968017578,0.16846629977226255
